Date,OPEN,HIGH,LOW,LAST_PRICE,NUMBER_TICKS,VOLUME,VALUE
2015-09-01 4:00,9.2,9.2,9.2,9.2,2,20,184
2015-09-01 7:00,9.2,9.2,9.2,9.2,1,10,92
2015-09-01 7:03,8.88,8.88,8.81,8.81,4,108,954
2015-09-01 7:20,8.81,8.81,8.81,8.81,1,36,317.16
2015-09-01 7:30,8.88,8.99,8.88,8.99,4,144,1286.6399
2015-09-01 7:36,8.99,8.99,8.99,8.99,1,36,323.64
2015-09-01 7:44,8.87,8.87,8.87,8.87,2,108,957.96
2015-09-01 7:49,8.8,8.8,8.8,8.8,2,144,1267.2001
2015-09-01 7:58,8.8,8.8,8.8,8.8,2,180,1584
2015-09-01 7:59,8.8,8.8,8.8,8.8,3,315,2772
2015-09-01 8:00,8.8,8.8,8.8,8.8,2,246,2164.8
2015-09-01 8:04,8.8,8.8,8.8,8.8,3,429,3775.2002
2015-09-01 8:11,8.8,8.8,8.8,8.8,14,1782,15681.5996
2015-09-01 8:12,8.8,8.8,8.8,8.8,6,840,7392
2015-09-01 8:14,8.8,8.8,8.8,8.8,2,316,2780.8
2015-09-01 8:15,8.8,8.8,8.8,8.8,3,478,4206.3999
2015-09-01 8:20,8.8,8.8,8.8,8.8,1,160,1408
2015-09-01 8:22,8.84,8.84,8.84,8.84,2,320,2828.8
2015-09-01 8:23,8.84,8.85,8.84,8.85,8,1280,11326.4004
2015-09-01 8:35,8.85,8.85,8.85,8.85,2,320,2832
2015-09-01 8:36,8.85,8.85,8.85,8.85,2,320,2832
2015-09-01 8:37,8.85,8.85,8.85,8.85,2,320,2832
2015-09-01 8:38,8.85,8.85,8.85,8.85,3,552,4885.2002
2015-09-01 8:39,8.85,8.85,8.81,8.81,8,1888,16656.9199
2015-09-01 8:40,8.81,8.81,8.81,8.81,2,618,5444.5801
2015-09-01 8:42,8.81,8.81,8.81,8.81,1,309,2722.29
2015-09-01 8:47,8.81,8.81,8.81,8.81,2,618,5444.5801
2015-09-01 8:48,8.81,8.81,8.81,8.81,3,939,8272.5898
2015-09-01 8:49,8.81,8.81,8.81,8.81,2,628,5532.6802
2015-09-01 8:51,8.81,8.81,8.81,8.81,3,996,8774.7607
2015-09-01 8:52,8.81,8.81,8.81,8.81,1,332,2924.9202
2015-09-01 8:53,8.81,8.82,8.81,8.82,3,996,8781.4004
2015-09-01 8:54,8.82,8.82,8.82,8.82,3,1050,9261
2015-09-01 8:57,8.82,8.82,8.82,8.82,1,350,3087
2015-09-01 8:58,8.82,8.82,8.82,8.82,7,2450,21609
2015-09-01 8:59,8.85,8.85,8.85,8.85,2,700,6195.0005
2015-09-01 9:00,8.84,8.85,8.84,8.85,5,1750,15480.501
2015-09-01 9:01,8.85,8.85,8.85,8.85,3,1050,9292.501
2015-09-01 9:02,8.85,9.09,8.82,8.85,13,4226,37548.7422
2015-09-01 9:03,8.85,8.85,8.85,8.85,1,368,3256.8
2015-09-01 9:04,8.85,9.01,8.85,8.85,9,2970,26420.5605
2015-09-01 9:05,8.85,8.85,8.85,8.85,5,1930,17080.5
2015-09-01 9:07,8.85,8.85,8.85,8.85,2,784,6938.4004
2015-09-01 9:08,8.86,8.86,8.86,8.86,2,784,6946.2397
2015-09-01 9:09,8.88,8.9,8.88,8.9,4,1568,13939.5195
2015-09-01 9:10,8.9,8.9,8.9,8.9,2,794,7066.5996
2015-09-01 9:12,8.9,8.92,8.9,8.92,4,1588,14157.0195
2015-09-01 9:13,8.92,9.01,8.92,9.01,4,1588,14272.1504
2015-09-01 9:14,9.01,9.01,8.82,8.82,3,1707,15131.1689
2015-09-01 9:15,8.82,9.06,8.82,8.82,19,11413,101043.7734
2015-09-01 9:16,8.82,8.84,8.82,8.83,17,10995,97013.0938
2015-09-01 9:17,8.85,8.9,8.85,8.88,10,5606,49764.5625
2015-09-01 9:18,8.88,8.89,8.88,8.88,7,4016,35679.0625
2015-09-01 9:19,8.88,9.09,8.88,9.09,18,10518,94160.2969
2015-09-01 9:20,9.09,9.13,9.09,9.13,13,7631,69506.6719
2015-09-01 9:21,9.15,9.16,9.15,9.16,8,4696,42997.75
2015-09-01 9:22,9.17,9.2,9.17,9.2,18,10279,94438.7422
2015-09-01 9:23,9.2,9.2,9.2,9.2,6,3480,32016
2015-09-01 9:24,9.2,9.2,9.2,9.2,4,2302,21178.3984
2015-09-01 9:25,9.2,9.2,9.2,9.2,1,574,5280.7998
2015-09-01 9:26,9.21,9.21,9.21,9.21,9,5598,51557.582
2015-09-01 9:27,9.21,9.22,9.21,9.22,33,20776,191378.4531
2015-09-01 9:28,9.25,9.25,9.23,9.25,22,16331,151036.3438
2015-09-01 9:29,9.25,9.26,9.23,9.26,266,142483,1317385.875
2015-09-01 9:30,9.25,9.28,9.23,9.23,1345,27773,256763.6563
2015-09-01 9:31,9.23,9.27,9.19,9.21,1350,43588,401971.2813
2015-09-01 9:32,9.21,9.25,9.2,9.24,968,34694,320534.1563
