Date,OPEN,HIGH,LOW,LAST_PRICE,NUMBER_TICKS,VOLUME,VALUE
2015-09-01 9:29,9.25,9.25,9.23,9.25,111,102000,943449
2015-09-01 9:30,9.25,9.28,9.21,9.22,165,49700,459285
2015-09-01 9:31,9.2,9.25,9.19,9.2,60,18800,173125
2015-09-01 9:32,9.21,9.24,9.19,9.23,59,12000,110686
2015-09-01 9:33,9.24,9.28,9.24,9.26,94,55000,508761
2015-09-01 9:34,9.26,9.27,9.23,9.25,75,23000,212684
2015-09-01 9:35,9.25,9.3,9.25,9.3,48,25500,236485
2015-09-01 9:36,9.3,9.31,9.29,9.31,63,27100,252129
2015-09-01 9:37,9.29,9.33,9.29,9.33,62,25100,233689
2015-09-01 9:38,9.33,9.37,9.32,9.36,62,26400,246741
2015-09-01 9:39,9.36,9.4,9.36,9.4,65,31600,296789
2015-09-01 9:40,9.39,9.42,9.36,9.4,121,41600,391083.5
2015-09-01 9:41,9.41,9.42,9.4,9.41,60,19200,180684
2015-09-01 9:42,9.4,9.405,9.38,9.38,123,35400,332590.5
2015-09-01 9:43,9.39,9.39,9.37,9.38,27,5300,49722
2015-09-01 9:44,9.37,9.37,9.34,9.37,54,10400,97363
2015-09-01 9:45,9.365,9.38,9.31,9.36,166,47600,444997.5
2015-09-01 9:46,9.38,9.4,9.38,9.4,72,124300,1168136.875
2015-09-01 9:47,9.39,9.39,9.34,9.37,47,19500,182445
2015-09-01 9:48,9.36,9.36,9.32,9.33,34,8700,81228.5
2015-09-01 9:49,9.33,9.35,9.33,9.34,23,5700,53264
2015-09-01 9:50,9.33,9.33,9.29,9.29,67,121700,1131837.5
2015-09-01 9:51,9.28,9.34,9.28,9.34,29,10700,99673
2015-09-01 9:52,9.34,9.37,9.33,9.37,32,11500,107568
2015-09-01 9:53,9.37,9.37,9.31,9.32,33,9400,87767
2015-09-01 9:54,9.31,9.31,9.29,9.29,36,8800,81800
2015-09-01 9:55,9.3,9.3,9.29,9.3,50,12800,118977
2015-09-01 9:56,9.3,9.3,9.285,9.29,94,23700,220299
2015-09-01 9:57,9.3,9.3,9.28,9.28,53,18800,174610.5
2015-09-01 9:58,9.28,9.3,9.28,9.3,28,5800,53879
2015-09-01 9:59,9.29,9.3,9.25,9.26,49,17100,158561
2015-09-01 10:00,9.28,9.3,9.25,9.25,86,21900,203311
2015-09-01 10:01,9.25,9.29,9.23,9.27,58,142200,1317859
2015-09-01 10:02,9.28,9.29,9.25,9.25,33,8900,82450
2015-09-01 10:03,9.26,9.27,9.24,9.26,46,16900,156512
2015-09-01 10:04,9.27,9.31,9.27,9.31,37,19000,176640
2015-09-01 10:05,9.31,9.31,9.28,9.28,24,7700,71575
2015-09-01 10:06,9.3,9.3,9.26,9.27,41,12400,115008
2015-09-01 10:07,9.28,9.28,9.25,9.28,27,7100,65782
2015-09-01 10:08,9.28,9.29,9.27,9.28,47,13200,122511
2015-09-01 10:09,9.28,9.3,9.27,9.27,56,14300,132691.5
2015-09-01 10:10,9.27,9.27,9.2,9.21,50,20700,191117
2015-09-01 10:11,9.23,9.23,9.2,9.2,32,11500,105944
2015-09-01 10:12,9.2,9.2,9.18,9.18,62,27700,254663.5
2015-09-01 10:13,9.18,9.18,9.14,9.17,68,49600,454081.5
