Date,OPEN,HIGH,LOW,LAST_PRICE,NUMBER_TICKS,VOLUME,VALUE
2015-05-13 7:02,12.24,12.24,12.24,12.24,2,46,563.04
2015-05-13 7:03,12.24,12.24,12.24,12.24,2,46,563.04
2015-05-13 7:04,12.24,12.24,12.24,12.24,1,23,281.52
2015-05-13 7:05,12.2,12.2,12.2,12.2,2,36,439.2
2015-05-13 7:27,12.2,12.24,12.2,12.24,6,186,2276.6399
2015-05-13 7:28,12.24,12.24,12.24,12.24,4,190,2325.5999
2015-05-13 7:52,12.24,12.24,12.24,12.24,2,98,1199.52
2015-05-13 7:55,12.25,12.25,12.25,12.25,2,200,2450
2015-05-13 8:10,12.25,12.25,12.25,12.25,1,100,1225
2015-05-13 8:13,12.25,12.25,12.25,12.25,1,100,1225
2015-05-13 8:15,12.25,12.25,12.25,12.25,2,200,2450
2015-05-13 8:30,12.25,12.25,12.25,12.25,6,628,7693
2015-05-13 8:31,12.25,12.25,12.25,12.25,2,214,2621.5
2015-05-13 8:35,12.25,12.25,12.25,12.25,1,107,1310.75
2015-05-13 8:41,12.25,12.25,12.25,12.25,1,107,1310.75
2015-05-13 8:44,12.25,12.25,12.25,12.25,1,107,1310.75
2015-05-13 8:46,12.25,12.25,12.25,12.25,1,107,1310.75
2015-05-13 8:51,12.25,12.25,12.25,12.25,1,107,1310.75
2015-05-13 8:53,12.25,12.25,12.25,12.25,2,246,3013.5
2015-05-13 8:54,12.25,12.25,12.25,12.25,2,256,3136
2015-05-13 8:59,12.25,12.25,12.25,12.25,1,128,1568
2015-05-13 9:04,12.25,12.25,12.25,12.25,1,128,1568
2015-05-13 9:06,12.25,12.25,12.25,12.25,1,128,1568
2015-05-13 9:07,12.25,12.25,12.25,12.25,1,128,1568
2015-05-13 9:14,12.25,12.25,12.25,12.25,3,399,4887.75
2015-05-13 9:15,12.25,12.25,12.25,12.25,1,133,1629.25
2015-05-13 9:17,12.25,12.25,12.25,12.25,1,133,1629.25
2015-05-13 9:18,12.25,12.25,12.25,12.25,1,133,1629.25
2015-05-13 9:20,12.25,12.25,12.25,12.25,6,852,10437
2015-05-13 9:22,12.25,12.25,12.25,12.25,1,149,1825.25
2015-05-13 9:23,12.25,12.25,12.25,12.25,2,258,3160.5
2015-05-13 9:25,12.3,12.3,12.3,12.3,8,1678,20639.4004
2015-05-13 9:26,12.35,12.35,12.32,12.34,14,3395,41894.3008
2015-05-13 9:27,12.35,12.35,12.35,12.35,10,2680,33098
2015-05-13 9:28,12.35,12.35,12.32,12.34,15,4646,57331.6406
2015-05-13 9:29,12.32,12.34,12.25,12.27,132,42747,524505.6875
2015-05-13 9:30,12.27,12.28,12.27,12.28,160,5464,67097.9219
2015-05-13 9:31,12.28,12.28,12.22,12.22,194,3758,45922.7617
2015-05-13 9:32,12.22,12.24,12.22,12.24,115,2799,34259.7578
2015-05-13 9:33,12.24,12.29,12.24,12.28,245,4226,51895.2773
2015-05-13 9:34,12.28,12.35,12.28,12.35,384,14300,176605
2015-05-13 9:35,12.35,12.38,12.35,12.38,190,4419,54707.2188
2015-05-13 9:36,12.38,12.4,12.36,12.37,370,10471,129526.2656
2015-05-13 9:37,12.37,12.37,12.34,12.35,192,3257,40223.9531
2015-05-13 9:38,12.35,12.36,12.34,12.34,172,5664,69893.7578
2015-05-13 9:39,12.34,12.34,12.3,12.31,295,5602,68960.625
2015-05-13 9:40,12.31,12.33,12.31,12.32,123,2734,33682.8789
2015-05-13 9:41,12.32,12.32,12.28,12.28,262,5386,66140.0781
2015-05-13 9:42,12.28,12.3,12.28,12.29,135,2737,33637.7305
2015-05-13 9:43,12.29,12.31,12.29,12.29,231,9787,120282.2266
2015-05-13 9:44,12.29,12.33,12.29,12.33,149,4476,55189.0781
2015-05-13 9:45,12.33,12.36,12.33,12.36,469,15137,187093.3125
2015-05-13 9:46,12.36,12.37,12.34,12.35,391,21735,268427.25
2015-05-13 9:47,12.35,12.35,12.34,12.34,170,6155,75952.7031
2015-05-13 9:48,12.34,12.37,12.34,12.37,487,34460,426270.1875
2015-05-13 9:49,12.37,12.38,12.37,12.38,209,31821,393943.9688
2015-05-13 9:50,12.38,12.38,12.37,12.38,433,65105,805999.9375
2015-05-13 9:51,12.38,12.38,12.36,12.37,367,44028,544626.375
2015-05-13 9:52,12.37,12.37,12.36,12.37,168,19099,236254.625
2015-05-13 9:53,12.37,12.37,12.37,12.37,30,3764,46560.6797
2015-05-13 9:54,12.37,12.38,12.37,12.38,154,24303,300871.1563
