Date,OPEN,HIGH,LOW,LAST_PRICE,NUMBER_TICKS,VOLUME,VALUE
2015-05-13 7:02,12.14,12.14,12.14,12.14,2,12,145.68
2015-05-13 7:03,12.2,12.24,12.2,12.24,4,32,391.68
2015-05-13 7:04,12.24,12.24,12.24,12.24,2,22,269.28
2015-05-13 7:05,12.2,12.2,12.2,12.2,2,46,561.2
2015-05-13 7:27,12.2,12.24,12.2,12.24,4,128,1566.72
2015-05-13 7:28,12.24,12.24,12.24,12.24,5,233,2851.9199
2015-05-13 7:52,12.24,12.24,12.24,12.24,1,47,575.28
2015-05-13 7:55,12.25,12.25,12.25,12.25,2,102,1249.5
2015-05-13 8:10,12.25,12.25,12.25,12.25,2,108,1323
2015-05-13 8:13,12.25,12.25,12.25,12.25,2,118,1445.5
2015-05-13 8:15,12.25,12.25,12.25,12.25,4,280,3430
2015-05-13 8:30,12.25,12.25,12.25,12.25,3,213,2609.25
2015-05-13 8:31,12.25,12.25,12.25,12.25,1,71,869.75
2015-05-13 8:35,12.25,12.25,12.25,12.25,2,242,2964.5
2015-05-13 8:41,12.25,12.25,12.25,12.25,2,244,2989
2015-05-13 8:44,12.25,12.25,12.25,12.25,2,264,3234
2015-05-13 8:46,12.25,12.25,12.25,12.25,2,464,5684
2015-05-13 8:51,12.25,12.25,12.25,12.25,2,468,5733
2015-05-13 8:53,12.25,12.25,12.25,12.25,1,234,2866.5
2015-05-13 8:54,12.25,12.25,12.25,12.25,1,234,2866.5
2015-05-13 8:59,12.25,12.25,12.25,12.25,2,478,5855.5
2015-05-13 9:04,12.25,12.25,12.25,12.25,2,480,5880
2015-05-13 9:06,12.25,12.25,12.25,12.25,2,520,6370
2015-05-13 9:07,12.25,12.25,12.25,12.25,2,540,6615
2015-05-13 9:14,12.25,12.25,12.25,12.25,3,820,10045
2015-05-13 9:15,12.25,12.25,12.25,12.25,2,560,6860
2015-05-13 9:17,12.25,12.25,12.25,12.25,2,566,6933.5
2015-05-13 9:18,12.25,12.25,12.25,12.25,2,586,7178.5
2015-05-13 9:20,12.25,12.25,12.25,12.25,3,879,10767.75
2015-05-13 9:22,12.25,12.25,12.25,12.25,2,606,7423.5
2015-05-13 9:23,12.25,12.25,12.25,12.25,1,303,3711.75
2015-05-13 9:25,12.3,12.3,12.3,12.3,8,1527,18782.0996
2015-05-13 9:26,12.35,12.35,12.32,12.34,14,3298,40697.3203
2015-05-13 9:27,12.35,12.35,12.35,12.35,12,3403,42027.0508
2015-05-13 9:28,12.35,12.35,12.32,12.34,11,3373,41622.8203
2015-05-13 9:29,12.32,12.34,12.25,12.26,142,41033,503064.5938
2015-05-13 9:30,12.26,12.27,12.26,12.26,167,2644,32415.4414
2015-05-13 9:31,12.26,12.26,12.21,12.21,199,17548,214261.0781
2015-05-13 9:32,12.21,12.23,12.21,12.23,122,2901,35479.2305
2015-05-13 9:33,12.23,12.28,12.23,12.27,306,3986,48908.2227
2015-05-13 9:34,12.27,12.34,12.27,12.33,481,6041,74485.5313
2015-05-13 9:35,12.34,12.36,12.33,12.36,229,4777,59043.7188
2015-05-13 9:36,12.36,12.39,12.34,12.36,402,7175,88683
2015-05-13 9:37,12.36,12.36,12.33,12.34,198,2694,33243.9609
2015-05-13 9:38,12.34,12.34,12.33,12.33,137,2354,29024.8203
2015-05-13 9:39,12.33,12.33,12.29,12.3,240,5721,70368.3047
2015-05-13 9:40,12.3,12.31,12.3,12.31,143,4547,55973.5703
2015-05-13 9:41,12.31,12.31,12.27,12.27,240,5954,73055.5859
2015-05-13 9:42,12.27,12.28,12.27,12.28,126,1712,21023.3594
2015-05-13 9:43,12.28,12.3,12.27,12.28,250,6359,78088.5156
2015-05-13 9:44,12.28,12.32,12.28,12.32,175,2442,30085.4395
2015-05-13 9:45,12.32,12.35,12.32,12.35,451,10731,132527.8594
2015-05-13 9:46,12.35,12.36,12.32,12.34,368,10267,126694.7813
2015-05-13 9:47,12.34,12.34,12.32,12.33,159,3391,41811.0313
2015-05-13 9:48,12.33,12.36,12.33,12.36,479,10184,125874.2344
2015-05-13 9:49,12.36,12.37,12.36,12.37,206,6014,74393.1797
2015-05-13 9:50,12.37,12.37,12.36,12.37,383,7956,98415.7188
2015-05-13 9:51,12.37,12.37,12.35,12.36,366,13228,163498.0781
2015-05-13 9:52,12.35,12.36,12.35,12.36,154,5869,72540.8359
2015-05-13 9:53,12.36,12.36,12.36,12.36,30,1496,18490.5586
2015-05-13 9:54,12.36,12.37,12.36,12.37,154,7968,98564.1563
2015-05-13 9:55,12.37,12.41,12.37,12.4,564,17815,220906
2015-05-13 9:56,12.4,12.4,12.37,12.39,246,4341,53784.9922
2015-05-13 9:57,12.39,12.39,12.37,12.37,195,4234,52374.5781
2015-05-13 9:58,12.37,12.37,12.37,12.37,52,1479,18295.2305
2015-05-13 9:59,12.37,12.38,12.37,12.38,140,6029,74639.0234
2015-05-13 10:00,12.38,12.4,12.36,12.4,293,6756,83774.3984
2015-05-13 10:01,12.4,12.41,12.4,12.4,252,4364,54113.5977
2015-05-13 10:02,12.4,12.4,12.39,12.4,125,2170,26908
2015-05-13 10:03,12.4,12.4,12.39,12.4,116,2518,31223.1992
2015-05-13 10:04,12.4,12.41,12.39,12.41,317,6885,85442.8516
2015-05-13 10:05,12.41,12.44,12.41,12.44,386,12009,149391.9531
2015-05-13 10:06,12.44,12.44,12.42,12.44,323,8157,101473.0781
2015-05-13 10:07,12.44,12.47,12.44,12.44,444,12773,158896.1094
2015-05-13 10:08,12.44,12.44,12.42,12.42,182,4368,54250.5586
2015-05-13 10:09,12.42,12.45,12.42,12.45,293,4832,60158.3984
2015-05-13 10:10,12.45,12.46,12.45,12.45,343,10373,129143.8516
2015-05-13 10:11,12.45,12.48,12.45,12.48,266,11236,140225.2813
2015-05-13 10:12,12.48,12.51,12.48,12.51,496,21403,267751.5313
2015-05-13 10:13,12.51,12.53,12.51,12.53,472,19090,239197.6875
2015-05-13 10:14,12.53,12.54,12.51,12.52,436,9274,116110.4844
2015-05-13 10:15,12.52,12.52,12.52,12.52,135,4788,59945.7617
2015-05-13 10:16,12.52,12.53,12.52,12.52,287,19844,248446.8906
2015-05-13 10:17,12.52,12.53,12.52,12.53,194,10272,128708.1563
2015-05-13 10:18,12.53,12.56,12.53,12.55,445,16162,202833.1094
2015-05-13 10:19,12.55,12.55,12.53,12.53,174,4965,62211.4492
2015-05-13 10:20,12.53,12.54,12.53,12.54,115,2472,30998.8809
2015-05-13 10:21,12.54,12.54,12.47,12.51,542,12635,158063.8594
2015-05-13 10:22,12.51,12.52,12.5,12.52,318,5706,71439.125
2015-05-13 10:23,12.52,12.53,12.51,12.51,398,7884,98628.8438
2015-05-13 10:24,12.51,12.56,12.5,12.56,557,10739,134881.8438
2015-05-13 10:25,12.56,12.57,12.56,12.57,441,9212,115794.8359
2015-05-13 10:26,12.57,12.58,12.57,12.58,236,6337,79719.4609
2015-05-13 10:27,12.58,12.58,12.57,12.57,89,1121,14090.9697
2015-05-13 10:28,12.57,12.57,12.56,12.56,269,4828,60639.6836
2015-05-13 10:29,12.56,12.56,12.55,12.55,232,3856,48392.8008
2015-05-13 10:30,12.55,12.55,12.54,12.55,153,4487,56311.8516
2015-05-13 10:31,12.55,12.57,12.54,12.56,461,12528,157351.6875
2015-05-13 10:32,12.56,12.56,12.53,12.56,368,6852,86061.125
2015-05-13 10:33,12.56,12.56,12.54,12.55,343,7592,95279.6016
2015-05-13 10:34,12.55,12.56,12.54,12.56,290,7110,89301.6016
2015-05-13 10:35,12.56,12.56,12.55,12.55,130,4420,55471
2015-05-13 10:36,12.55,12.56,12.55,12.56,122,4739,59521.8438
2015-05-13 10:37,12.56,12.56,12.55,12.56,192,6425,80698
2015-05-13 10:38,12.55,12.56,12.55,12.56,146,5741,72106.9609
2015-05-13 10:39,12.56,12.56,12.5,12.5,513,17020,212750
2015-05-13 10:40,12.5,12.5,12.48,12.48,238,8991,112207.6797
2015-05-13 10:41,12.48,12.49,12.45,12.49,436,7111,88816.3906
2015-05-13 10:42,12.49,12.52,12.49,12.49,473,8134,101593.6563
2015-05-13 10:43,12.49,12.5,12.49,12.49,266,4721,58965.2891
2015-05-13 10:44,12.49,12.49,12.45,12.45,221,5537,68935.6484
2015-05-13 10:45,12.45,12.46,12.4,12.42,783,19619,243667.9844
2015-05-13 10:46,12.42,12.44,12.36,12.37,368,7475,92465.75
2015-05-13 10:47,12.38,12.39,12.35,12.39,420,8547,105897.3359
2015-05-13 10:48,12.39,12.42,12.39,12.42,211,5937,73737.5391
2015-05-13 10:49,12.42,12.46,12.42,12.46,349,7529,93811.3438
2015-05-13 10:50,12.46,12.48,12.46,12.48,282,9698,121031.0391
2015-05-13 10:51,12.48,12.49,12.46,12.48,392,9457,118023.3594
2015-05-13 10:52,12.48,12.48,12.48,12.48,47,2105,26270.3984
2015-05-13 10:53,12.48,12.52,12.48,12.5,253,6997,87462.5
2015-05-13 10:54,12.5,12.5,12.48,12.49,201,4471,55842.7891
2015-05-13 10:55,12.49,12.49,12.47,12.47,316,5869,73186.4297
2015-05-13 10:56,12.47,12.48,12.47,12.48,136,4953,61813.4375
2015-05-13 10:57,12.48,12.51,12.48,12.51,276,8999,112577.4922
2015-05-13 10:58,12.51,12.53,12.51,12.53,204,15096,189152.875
2015-05-13 10:59,12.53,12.53,12.48,12.48,215,6718,83840.6406
2015-05-13 11:00,12.48,12.5,12.48,12.5,88,1723,21537.5
2015-05-13 11:01,12.5,12.5,12.48,12.5,338,6431,80387.5
2015-05-13 11:02,12.5,12.52,12.5,12.51,239,6336,79263.3594
2015-05-13 11:03,12.51,12.52,12.51,12.52,121,5792,72515.8438
2015-05-13 11:04,12.52,12.52,12.52,12.52,69,2333,29209.1602
2015-05-13 11:05,12.52,12.53,12.52,12.53,165,7161,89727.3281
2015-05-13 11:06,12.53,12.54,12.53,12.54,177,6541,82024.1406
2015-05-13 11:07,12.54,12.56,12.54,12.56,216,12795,160705.2031
2015-05-13 11:08,12.56,12.58,12.56,12.58,255,9037,113685.4609
2015-05-13 11:09,12.58,12.58,12.55,12.55,258,5066,63578.3008
2015-05-13 11:10,12.55,12.57,12.55,12.57,196,3184,40022.8789
2015-05-13 11:11,12.57,12.57,12.55,12.56,141,4128,51847.6836
2015-05-13 11:12,12.56,12.56,12.55,12.55,203,4287,53801.8516
2015-05-13 11:13,12.55,12.56,12.55,12.56,136,4436,55716.1602
2015-05-13 11:14,12.56,12.56,12.56,12.56,76,4434,55691.043
2015-05-13 11:15,12.56,12.57,12.56,12.57,148,6970,87612.8984
2015-05-13 11:16,12.57,12.57,12.54,12.55,241,5271,66151.0547
2015-05-13 11:17,12.55,12.56,12.55,12.56,104,2497,31362.3203
2015-05-13 11:18,12.56,12.56,12.56,12.56,56,3066,38508.9609
2015-05-13 11:19,12.56,12.56,12.56,12.56,74,3831,48117.3633
2015-05-13 11:20,12.56,12.56,12.56,12.56,86,4758,59760.4805
2015-05-13 11:21,12.56,12.56,12.56,12.56,32,2056,25823.3613
2015-05-13 11:22,12.56,12.56,12.56,12.56,49,3781,47489.3633
2015-05-13 11:23,12.56,12.57,12.56,12.57,213,11370,142920.8906
2015-05-13 11:24,12.57,12.57,12.54,12.55,232,8442,105947.1016
2015-05-13 11:25,12.55,12.56,12.55,12.56,142,5364,67371.8438
2015-05-13 11:26,12.56,12.57,12.56,12.57,228,9273,116561.6094
2015-05-13 11:27,12.57,12.57,12.57,12.57,67,3286,41305.0195
2015-05-13 11:28,12.57,12.58,12.56,12.56,215,11645,146261.2031
2015-05-13 11:29,12.56,12.57,12.56,12.57,147,8460,106342.1953
2015-05-13 11:30,12.57,12.57,12.57,12.57,85,3119,39205.8281
2015-05-13 11:31,12.57,12.57,12.57,12.57,47,2250,28282.5
2015-05-13 11:32,12.57,12.57,12.57,12.57,81,4989,62711.7266
2015-05-13 11:33,12.57,12.57,12.57,12.57,73,4863,61127.9102
2015-05-13 11:34,12.57,12.58,12.57,12.58,140,8605,108250.8984
2015-05-13 11:35,12.58,12.59,12.57,12.57,333,13431,168827.6719
2015-05-13 11:36,12.57,12.58,12.57,12.58,143,3544,44583.5195
2015-05-13 11:37,12.58,12.58,12.58,12.58,76,4260,53590.8008
2015-05-13 11:38,12.58,12.59,12.58,12.58,187,4810,60509.8008
2015-05-13 11:39,12.58,12.58,12.57,12.57,146,4892,61492.4375
2015-05-13 11:40,12.57,12.57,12.55,12.55,371,21114,264980.7188
2015-05-13 11:41,12.55,12.57,12.55,12.57,245,9985,125511.4453
2015-05-13 11:42,12.57,12.57,12.57,12.57,63,1916,24084.1191
2015-05-13 11:43,12.57,12.58,12.57,12.58,207,7157,90035.0625
2015-05-13 11:44,12.58,12.58,12.56,12.57,161,6969,87600.3281
2015-05-13 11:45,12.57,12.57,12.56,12.57,92,4477,56275.8867
2015-05-13 11:46,12.57,12.58,12.57,12.58,171,4982,62673.5586
2015-05-13 11:47,12.58,12.58,12.56,12.57,163,13610,171077.7031
2015-05-13 11:48,12.56,12.56,12.54,12.56,215,7911,99362.1641
2015-05-13 11:49,12.56,12.58,12.56,12.58,330,12280,154482.4063
2015-05-13 11:50,12.58,12.58,12.56,12.56,134,3851,48368.5625
2015-05-13 11:51,12.56,12.57,12.56,12.57,113,5123,64396.1094
2015-05-13 11:52,12.57,12.57,12.57,12.57,56,3082,38740.7383
2015-05-13 11:53,12.57,12.57,12.57,12.57,52,3321,41744.9688
2015-05-13 11:54,12.57,12.59,12.57,12.58,194,6945,87368.1016
2015-05-13 11:55,12.58,12.59,12.58,12.58,68,5693,71617.9375
2015-05-13 11:56,12.58,12.59,12.58,12.59,136,8949,112667.9141
2015-05-13 11:57,12.59,12.59,12.57,12.58,200,8425,105986.5
2015-05-13 11:58,12.58,12.58,12.58,12.58,48,1702,21411.1602
2015-05-13 11:59,12.58,12.59,12.58,12.59,152,7615,95872.8516
2015-05-13 12:00,12.59,12.59,12.59,12.59,34,1498,18859.8203
2015-05-13 12:01,12.59,12.59,12.59,12.59,40,1938,24399.4199
2015-05-13 12:02,12.59,12.59,12.59,12.59,59,2852,35906.6797
2015-05-13 12:03,12.59,12.59,12.58,12.58,177,5215,65604.7031
2015-05-13 12:04,12.58,12.58,12.58,12.58,104,4073,51238.3398
2015-05-13 12:05,12.58,12.59,12.58,12.59,142,5036,63403.2422
2015-05-13 12:06,12.59,12.59,12.59,12.59,46,1971,24814.8906
2015-05-13 12:07,12.59,12.59,12.57,12.58,124,3656,45992.4805
2015-05-13 12:08,12.58,12.59,12.57,12.57,208,6394,80372.5781
2015-05-13 12:09,12.57,12.57,12.57,12.57,76,6615,83150.5469
2015-05-13 12:10,12.57,12.57,12.57,12.57,17,1976,24838.3203
2015-05-13 12:11,12.57,12.57,12.57,12.57,46,5434,68305.375
2015-05-13 12:12,12.57,12.57,12.57,12.57,46,5433,68292.8047
2015-05-13 12:13,12.57,12.57,12.57,12.57,47,5833,73320.8047
2015-05-13 12:14,12.57,12.57,12.57,12.57,58,7887,99139.5859
2015-05-13 12:15,12.57,12.57,12.57,12.57,45,6324,79492.6797
2015-05-13 12:16,12.57,12.59,12.57,12.59,274,15286,192450.75
2015-05-13 12:17,12.59,12.59,12.58,12.58,119,5542,69718.3594
2015-05-13 12:18,12.58,12.59,12.58,12.59,161,3854,48521.8594
2015-05-13 12:19,12.59,12.59,12.58,12.58,107,1557,19587.0605
2015-05-13 12:20,12.58,12.58,12.58,12.58,67,1916,24103.2793
2015-05-13 12:21,12.58,12.58,12.58,12.58,23,1225,15410.5
2015-05-13 12:22,12.58,12.58,12.58,12.58,51,5655,71139.8984
2015-05-13 12:23,12.58,12.58,12.58,12.58,33,3889,48923.6211
2015-05-13 12:24,12.58,12.58,12.58,12.58,36,4229,53200.8203
2015-05-13 12:25,12.58,12.59,12.58,12.59,124,8797,110754.2344
2015-05-13 12:26,12.59,12.59,12.59,12.59,58,2039,25671.0098
2015-05-13 12:27,12.59,12.59,12.58,12.58,259,19179,241271.8125
2015-05-13 12:28,12.58,12.58,12.58,12.58,38,4137,52043.4609
2015-05-13 12:29,12.58,12.59,12.58,12.59,140,8840,111295.6016
2015-05-13 12:30,12.59,12.59,12.58,12.58,147,12998,163514.8438
2015-05-13 12:31,12.58,12.58,12.58,12.58,69,6435,80952.2969
2015-05-13 12:32,12.58,12.58,12.58,12.58,55,6161,77505.3828
2015-05-13 12:33,12.58,12.58,12.58,12.58,44,4963,62434.5391
2015-05-13 12:34,12.58,12.58,12.56,12.56,160,6078,76339.6797
2015-05-13 12:35,12.56,12.56,12.55,12.56,247,7857,98683.9219
2015-05-13 12:36,12.56,12.56,12.55,12.55,174,7001,87862.5547
2015-05-13 12:37,12.55,12.58,12.55,12.58,204,4350,54723
2015-05-13 12:38,12.58,12.58,12.58,12.58,61,1619,20367.0195
2015-05-13 12:39,12.58,12.58,12.58,12.58,55,2159,27160.2207
2015-05-13 12:40,12.58,12.58,12.57,12.58,76,1666,20958.2793
2015-05-13 12:41,12.58,12.58,12.56,12.56,148,2433,30558.4805
2015-05-13 12:42,12.56,12.56,12.56,12.56,66,2561,32166.1602
2015-05-13 12:43,12.56,12.57,12.56,12.57,193,7126,89573.8203
2015-05-13 12:44,12.57,12.57,12.57,12.57,53,1493,18767.0098
2015-05-13 12:45,12.57,12.57,12.55,12.55,156,3045,38214.75
2015-05-13 12:46,12.55,12.55,12.53,12.54,149,2914,36541.5586
2015-05-13 12:47,12.54,12.55,12.54,12.55,159,6424,80621.2031
2015-05-13 12:48,12.55,12.56,12.55,12.56,149,5506,69155.3594
2015-05-13 12:49,12.56,12.56,12.56,12.56,46,2170,27255.2012
2015-05-13 12:50,12.56,12.56,12.56,12.56,46,2796,35117.7617
2015-05-13 12:51,12.56,12.57,12.56,12.57,128,4606,57897.418
2015-05-13 12:52,12.57,12.57,12.57,12.57,30,1593,20024.0098
2015-05-13 12:53,12.57,12.57,12.57,12.57,93,3305,41543.8477
2015-05-13 12:54,12.57,12.57,12.57,12.57,46,1936,24335.5195
2015-05-13 12:55,12.57,12.57,12.57,12.57,57,2934,36880.3789
2015-05-13 12:56,12.57,12.57,12.57,12.57,20,1240,15586.7998
2015-05-13 12:57,12.57,12.57,12.57,12.57,42,2679,33675.0273
2015-05-13 12:58,12.57,12.57,12.57,12.57,32,1937,24348.0898
2015-05-13 12:59,12.57,12.57,12.57,12.57,31,1719,21607.8301
2015-05-13 13:00,12.57,12.57,12.57,12.57,28,1551,19496.0703
2015-05-13 13:01,12.57,12.57,12.57,12.57,51,4054,50958.7773
2015-05-13 13:02,12.57,12.57,12.57,12.57,111,8094,101741.5781
2015-05-13 13:03,12.57,12.57,12.57,12.57,72,4577,57532.8867
2015-05-13 13:04,12.57,12.57,12.57,12.57,33,1995,25077.1484
2015-05-13 13:05,12.57,12.58,12.57,12.58,260,19046,239598.6719
2015-05-13 13:06,12.58,12.59,12.57,12.57,213,5499,69122.4297
2015-05-13 13:07,12.57,12.57,12.57,12.57,64,1062,13349.3398
2015-05-13 13:08,12.57,12.57,12.57,12.57,29,1014,12745.9795
2015-05-13 13:09,12.57,12.57,12.57,12.57,45,1979,24876.0293
2015-05-13 13:10,12.57,12.57,12.57,12.57,30,1647,20702.7891
2015-05-13 13:11,12.57,12.58,12.57,12.58,128,5864,73769.1172
2015-05-13 13:12,12.58,12.59,12.58,12.59,155,4623,58203.5703
2015-05-13 13:13,12.59,12.59,12.59,12.59,29,847,10663.7305
2015-05-13 13:14,12.59,12.59,12.59,12.59,55,2344,29510.9609
2015-05-13 13:15,12.59,12.59,12.59,12.59,39,1763,22196.1699
2015-05-13 13:16,12.59,12.59,12.58,12.58,79,2151,27059.5801
2015-05-13 13:17,12.58,12.58,12.58,12.58,104,4739,59616.6211
2015-05-13 13:18,12.58,12.59,12.58,12.59,108,3673,46243.0703
2015-05-13 13:19,12.59,12.59,12.59,12.59,62,3527,44404.9297
2015-05-13 13:20,12.59,12.59,12.58,12.58,107,4661,58635.3789
2015-05-13 13:21,12.58,12.58,12.58,12.58,58,2228,28028.2402
2015-05-13 13:22,12.58,12.59,12.58,12.59,77,3392,42705.2813
2015-05-13 13:23,12.59,12.59,12.59,12.59,57,4097,51581.2305
2015-05-13 13:24,12.59,12.59,12.59,12.59,54,4421,55660.3906
2015-05-13 13:25,12.59,12.59,12.59,12.59,32,1657,20861.6309
2015-05-13 13:26,12.59,12.59,12.58,12.58,66,1751,22027.5801
2015-05-13 13:27,12.58,12.58,12.58,12.58,30,965,12139.7002
2015-05-13 13:28,12.58,12.58,12.58,12.58,24,965,12139.7002
2015-05-13 13:29,12.58,12.58,12.58,12.58,18,768,9661.4395
2015-05-13 13:30,12.58,12.58,12.58,12.58,42,2387,30028.459
2015-05-13 13:31,12.58,12.58,12.55,12.55,321,23743,297974.6563
2015-05-13 13:32,12.55,12.55,12.55,12.55,49,5794,72714.7031
2015-05-13 13:33,12.55,12.55,12.55,12.55,19,2121,26618.5508
2015-05-13 13:34,12.55,12.56,12.55,12.56,101,4868,61142.082
