Date,OPEN,HIGH,LOW,LAST_PRICE,NUMBER_TICKS,VOLUME,VALUE
2015-05-13 9:29,12.26,12.26,12.26,12.26,68,39300,481818
2015-05-13 9:30,12.27,12.27,12.26,12.27,30,9600,117792.0078
2015-05-13 9:31,12.27,12.27,12.21,12.22,59,30700,375154
2015-05-13 9:32,12.22,12.24,12.22,12.24,12,5300,64872
2015-05-13 9:33,12.24,12.29,12.24,12.27,50,14700,180369
2015-05-13 9:34,12.28,12.35,12.28,12.34,47,23600,291224
2015-05-13 9:35,12.34,12.38,12.34,12.36,42,11800,145848
2015-05-13 9:36,12.37,12.39,12.35,12.37,50,28700,355019
2015-05-13 9:37,12.36,12.36,12.34,12.34,16,3200,39488
2015-05-13 9:38,12.35,12.35,12.33,12.335,21,6500,80177.5
2015-05-13 9:39,12.335,12.34,12.295,12.305,42,10100,124280.5
2015-05-13 9:40,12.3,12.31,12.3,12.31,13,3700,45547
2015-05-13 9:41,12.31,12.31,12.285,12.29,35,9300,114297
2015-05-13 9:42,12.29,12.29,12.28,12.28,21,5500,67540
2015-05-13 9:43,12.285,12.31,12.285,12.29,39,13400,164686
2015-05-13 9:44,12.29,12.32,12.285,12.32,39,23100,284592
2015-05-13 9:45,12.33,12.35,12.33,12.35,37,11500,142025
2015-05-13 9:46,12.35,12.37,12.34,12.34,30,14300,176462
2015-05-13 9:47,12.35,12.35,12.34,12.34,11,3000,37020
2015-05-13 9:48,12.34,12.36,12.34,12.36,77,32900,406644
2015-05-13 9:49,12.37,12.38,12.37,12.37,21,86800,1073716
2015-05-13 9:50,12.37,12.37,12.36,12.37,38,15100,186787
2015-05-13 9:51,12.38,12.38,12.36,12.36,33,10000,123600
2015-05-13 9:52,12.36,12.37,12.36,12.37,11,4700,58139
2015-05-13 9:53,12.36,12.36,12.36,12.36,1,100,1236
2015-05-13 9:54,12.37,12.38,12.36,12.38,32,19300,238934
2015-05-13 9:55,12.38,12.42,12.375,12.42,75,38900,483138
2015-05-13 9:56,12.4,12.4,12.38,12.39,33,9000,111510
2015-05-13 9:57,12.39,12.39,12.38,12.38,24,4500,55710
2015-05-13 9:58,12.37,12.37,12.37,12.37,3,500,6185
2015-05-13 9:59,12.38,12.38,12.37,12.38,32,12200,151036
2015-05-13 10:00,12.39,12.4,12.38,12.4,87,45000,558000
2015-05-13 10:01,12.41,12.42,12.41,12.41,39,17000,210970
