Date,OPEN,HIGH,LOW,LAST_PRICE,NUMBER_TICKS,VOLUME,VALUE
2015-05-13 6:59,65.35,65.35,65.35,65.35,2,2,130.7
2015-05-13 7:00,65.35,65.6,65.35,65.6,3,7,459.2
2015-05-13 7:03,65.65,65.65,65.65,65.65,3,18,1181.7001
2015-05-13 7:04,65.6,65.6,65.6,65.6,2,10,656
2015-05-13 7:20,65.6,65.6,65.6,65.6,2,70,4592
2015-05-13 7:28,65.5,65.5,65.5,65.5,4,22,1441
2015-05-13 7:44,65.17,65.19,65.17,65.19,4,24,1564.5601
2015-05-13 7:59,65.79,65.79,65.19,65.19,4,310,20208.9004
2015-05-13 8:05,65,65,65,65,2,182,11830
2015-05-13 8:06,65,65,65,65,3,279,18135
2015-05-13 8:10,65,65,65,65,2,190,12350
2015-05-13 8:15,65,65,65,65,2,190,12350
2015-05-13 8:29,65,65,65,65,2,192,12480
2015-05-13 8:32,65,65,65,65,1,96,6240
2015-05-13 8:39,65,65,65,65,1,96,6240
2015-05-13 8:40,65,65,65,65,1,96,6240
2015-05-13 8:45,65.01,65.01,65.01,65.01,2,192,12481.9199
2015-05-13 8:47,65.01,65.01,65.01,65.01,1,96,6240.96
2015-05-13 8:52,65,65,65,65,2,228,14820
2015-05-13 8:53,65,65,65,65,1,114,7410
2015-05-13 8:58,65,65,65,65,1,114,7410
2015-05-13 9:00,65,65.33,65,65.33,5,590,38544.6992
2015-05-13 9:04,65.1,65.1,65.1,65.1,2,242,15754.1992
2015-05-13 9:06,65.41,65.41,65.1,65.41,6,698,45656.1836
2015-05-13 9:07,65.38,65.38,65.38,65.38,2,238,15560.4395
2015-05-13 9:08,65.38,65.6,65.38,65.55,7,967,63386.8516
2015-05-13 9:09,65.51,65.51,65.51,65.51,2,256,16770.5605
2015-05-13 9:10,65.52,65.52,65.52,65.52,2,256,16773.1191
2015-05-13 9:11,65.51,65.51,65.51,65.51,4,518,33934.1797
2015-05-13 9:12,65.51,65.51,65.51,65.51,2,272,17818.7207
2015-05-13 9:13,65.51,65.51,65.51,65.51,3,432,28300.3203
2015-05-13 9:15,65.51,65.51,65.51,65.51,1,148,9695.4805
2015-05-13 9:16,65.51,65.51,65.51,65.51,3,429,28103.791
2015-05-13 9:17,65.51,65.51,65.51,65.51,2,300,19653
2015-05-13 9:18,65.48,65.48,65.33,65.33,4,578,37760.7422
2015-05-13 9:19,65.49,65.51,65.49,65.51,14,2520,165085.2031
2015-05-13 9:20,65.51,65.51,65.5,65.5,12,2196,143838
2015-05-13 9:21,65.5,65.5,65.5,65.5,1,187,12248.5
2015-05-13 9:22,65.5,65.5,65.5,65.5,4,790,51745
2015-05-13 9:23,65.5,65.5,65.5,65.5,3,597,39103.5
2015-05-13 9:24,65.5,65.5,65.48,65.48,5,972,63646.5625
2015-05-13 9:25,65.41,65.41,65.41,65.41,3,543,35517.6328
2015-05-13 9:26,65.42,65.42,65.35,65.35,4,732,47836.1992
2015-05-13 9:27,65.38,65.42,65.38,65.42,8,1484,97083.2734
2015-05-13 9:28,65.36,65.36,65.25,65.25,17,3472,226548
2015-05-13 9:29,65.33,65.33,65.19,65.19,123,20161,1314295.625
2015-05-13 9:30,65.23,65.45,65.21,65.45,574,2855,186859.7344
2015-05-13 9:31,65.45,65.45,65.38,65.4,181,2450,160230
2015-05-13 9:32,65.4,65.4,65.36,65.36,164,792,51765.1211
2015-05-13 9:33,65.36,65.4,65.36,65.4,119,571,37343.4023
2015-05-13 9:34,65.4,65.45,65.4,65.45,105,868,56810.5977
2015-05-13 9:35,65.45,65.45,65.29,65.29,398,3370,220027.2969
2015-05-13 9:36,65.29,65.38,65.27,65.38,277,1353,88459.1328
2015-05-13 9:37,65.38,65.45,65.37,65.45,380,3196,209178.1875
2015-05-13 9:38,65.45,65.45,65.41,65.43,368,2701,176726.4375
2015-05-13 9:39,65.43,65.43,65.36,65.42,382,1131,73990.0156
2015-05-13 9:40,65.42,65.45,65.42,65.43,954,11321,740733.0625
2015-05-13 9:41,65.43,65.45,65.39,65.43,784,4973,325383.4063
2015-05-13 9:42,65.43,65.43,65.36,65.4,819,4481,293057.4063
2015-05-13 9:43,65.4,65.45,65.39,65.44,576,7065,462333.625
2015-05-13 9:44,65.44,65.45,65.42,65.44,600,8390,549041.625
2015-05-13 9:45,65.44,65.47,65.42,65.45,618,9035,591340.75
2015-05-13 9:46,65.45,65.46,65.44,65.44,565,8168,534513.9375
2015-05-13 9:47,65.44,65.44,65.36,65.39,661,5994,391947.6563
2015-05-13 9:48,65.39,65.42,65.38,65.41,527,3801,248623.4219
2015-05-13 9:49,65.41,65.42,65.36,65.41,610,3342,218600.2344
2015-05-13 9:50,65.41,65.45,65.39,65.42,870,7855,513874.0938
2015-05-13 9:51,65.42,65.45,65.41,65.42,675,4535,296679.6875
2015-05-13 9:52,65.42,65.45,65.35,65.36,941,6211,405950.9688
2015-05-13 9:53,65.36,65.36,65.3,65.32,585,4239,276891.4688
2015-05-13 9:54,65.32,65.32,65.21,65.25,946,4752,310068
2015-05-13 9:55,65.25,65.25,65.16,65.16,1767,12635,823296.625
2015-05-13 9:56,65.17,65.18,65.12,65.13,696,4132,269117.1563
2015-05-13 9:57,65.13,65.13,65.03,65.08,787,5762,374990.9688
2015-05-13 9:58,65.09,65.09,65.04,65.06,824,4044,263102.625
2015-05-13 9:59,65.06,65.07,65.03,65.05,512,2735,177911.7656
2015-05-13 10:00,65.05,65.07,64.95,64.97,1117,5393,350383.2188
2015-05-13 10:01,64.97,65.02,64.96,64.99,449,2567,166829.3281
2015-05-13 10:02,64.99,65,64.97,64.97,616,3337,216804.8906
2015-05-13 10:03,64.97,65.07,64.96,64.96,1432,7427,482457.9063
2015-05-13 10:04,64.96,64.99,64.85,64.86,1430,14108,915044.875
2015-05-13 10:05,64.87,64.92,64.86,64.9,977,6398,415230.2188
2015-05-13 10:06,64.9,64.92,64.81,64.83,1188,7707,499644.8125
2015-05-13 10:07,64.83,64.86,64.82,64.83,454,2267,146969.6094
2015-05-13 10:08,64.83,64.87,64.81,64.86,573,3442,223248.125
2015-05-13 10:09,64.86,64.96,64.86,64.93,1023,6912,448796.1563
2015-05-13 10:10,64.93,64.97,64.93,64.97,930,6024,391379.2813
2015-05-13 10:11,64.97,64.97,64.93,64.97,631,8705,565563.875
2015-05-13 10:12,64.97,65.07,64.97,65.04,897,14304,930332.1875
2015-05-13 10:13,65.04,65.11,65.03,65.04,920,5373,349459.9375
2015-05-13 10:14,65.04,65.04,65,65.03,445,2230,145016.8906
2015-05-13 10:15,65.03,65.05,65.02,65.03,415,3132,203673.9531
2015-05-13 10:16,65.03,65.07,65,65.07,570,9765,635408.5625
2015-05-13 10:17,65.07,65.07,65.05,65.05,357,4253,276657.6563
2015-05-13 10:18,65.05,65.1,65.05,65.07,556,7983,519453.8125
2015-05-13 10:19,65.07,65.08,64.94,64.98,947,5413,351736.75
2015-05-13 10:20,64.98,65.01,64.97,64.99,413,2899,188406
2015-05-13 10:21,64.99,65.03,64.99,65.02,368,2311,150261.2188
2015-05-13 10:22,65.02,65.02,64.98,65,443,3301,214565
2015-05-13 10:23,65,65.01,64.97,64.99,441,2179,141613.2031
2015-05-13 10:24,64.99,64.99,64.95,64.96,579,3564,231517.4375
2015-05-13 10:25,64.96,64.96,64.93,64.94,574,15124,982152.625
2015-05-13 10:26,64.94,65,64.94,64.97,744,17558,1140743.25
2015-05-13 10:27,64.97,64.98,64.95,64.98,662,4485,291435.3125
2015-05-13 10:28,64.98,64.98,64.96,64.98,587,3336,216773.2969
2015-05-13 10:29,64.98,64.98,64.94,64.96,739,5536,359618.5625
2015-05-13 10:30,64.96,64.96,64.94,64.94,601,4529,294113.2813
2015-05-13 10:31,64.94,64.94,64.93,64.94,470,4205,273072.7188
2015-05-13 10:32,64.94,64.94,64.88,64.88,791,5658,367091.0313
2015-05-13 10:33,64.88,64.92,64.86,64.89,695,4320,280324.8125
2015-05-13 10:34,64.89,64.94,64.87,64.9,850,3679,238767.1094
2015-05-13 10:35,64.9,64.9,64.89,64.89,375,3248,210762.7188
2015-05-13 10:36,64.89,64.9,64.88,64.9,391,2731,177241.9063
2015-05-13 10:37,64.9,64.9,64.86,64.87,485,4980,323052.625
2015-05-13 10:38,64.87,64.89,64.86,64.87,374,1981,128507.4766
2015-05-13 10:39,64.87,64.88,64.87,64.87,171,1579,102429.7344
2015-05-13 10:40,64.87,64.92,64.87,64.92,437,3244,210600.4688
2015-05-13 10:41,64.92,64.94,64.92,64.92,511,3176,206185.9219
2015-05-13 10:42,64.92,64.94,64.91,64.92,661,3558,230985.3594
2015-05-13 10:43,64.92,64.93,64.89,64.9,565,2815,182693.5
2015-05-13 10:44,64.9,64.9,64.82,64.82,1104,7761,503068.0313
2015-05-13 10:45,64.82,64.82,64.79,64.79,537,5176,335353.0313
2015-05-13 10:46,64.79,64.82,64.79,64.81,716,7915,512971.125
2015-05-13 10:47,64.81,64.83,64.77,64.77,921,8749,566672.6875
2015-05-13 10:48,64.77,64.8,64.77,64.8,471,3330,215784.0156
2015-05-13 10:49,64.8,64.81,64.73,64.73,808,5669,366954.375
2015-05-13 10:50,64.73,64.73,64.71,64.72,694,4484,290204.5
2015-05-13 10:51,64.72,64.78,64.71,64.78,482,3157,204510.4531
2015-05-13 10:52,64.78,64.82,64.76,64.82,500,3736,242167.5156
2015-05-13 10:53,64.82,64.89,64.82,64.87,664,4326,280627.625
2015-05-13 10:54,64.87,64.88,64.84,64.84,782,5292,343133.25
2015-05-13 10:55,64.84,64.85,64.76,64.76,805,5871,380205.9688
2015-05-13 10:56,64.76,64.86,64.76,64.86,740,5082,329618.5313
2015-05-13 10:57,64.86,64.86,64.83,64.83,464,3885,251864.5625
2015-05-13 10:58,64.83,64.85,64.82,64.84,291,2224,144204.1563
2015-05-13 10:59,64.84,64.84,64.76,64.76,901,6675,432273
2015-05-13 11:00,64.76,64.76,64.73,64.75,549,3218,208365.5
2015-05-13 11:01,64.75,64.75,64.7,64.71,923,6443,416926.5313
2015-05-13 11:02,64.71,64.78,64.71,64.76,777,5393,349250.6875
2015-05-13 11:03,64.76,64.78,64.76,64.78,372,2212,143293.3594
2015-05-13 11:04,64.78,64.78,64.72,64.76,720,4954,320821.0625
2015-05-13 11:05,64.76,64.78,64.73,64.78,551,3559,230552.0156
2015-05-13 11:06,64.78,64.78,64.74,64.76,554,3736,241943.375
2015-05-13 11:07,64.76,64.78,64.73,64.76,729,5829,377486.0625
2015-05-13 11:08,64.76,64.77,64.72,64.73,677,10084,652737.375
2015-05-13 11:09,64.73,64.77,64.72,64.77,671,10261,664604.9375
2015-05-13 11:10,64.77,64.85,64.77,64.85,820,6885,446492.25
2015-05-13 11:11,64.85,64.85,64.83,64.83,393,5564,360714.125
2015-05-13 11:12,64.83,64.91,64.83,64.9,603,4093,265635.7188
2015-05-13 11:13,64.9,64.9,64.86,64.86,423,3424,222080.6406
2015-05-13 11:14,64.86,64.9,64.85,64.89,525,4654,301998.0625
2015-05-13 11:15,64.89,64.89,64.83,64.84,769,4206,272717.0313
2015-05-13 11:16,64.84,64.86,64.79,64.84,1063,7371,477935.625
2015-05-13 11:17,64.84,64.87,64.84,64.87,779,7931,514484
2015-05-13 11:18,64.87,64.9,64.85,64.9,643,5010,325149
2015-05-13 11:19,64.9,64.94,64.87,64.89,1094,8406,545465.3125
2015-05-13 11:20,64.89,64.9,64.88,64.89,525,3361,218095.2813
2015-05-13 11:21,64.89,64.89,64.83,64.84,820,6451,418282.8125
2015-05-13 11:22,64.84,64.91,64.84,64.86,1091,8275,536716.5
2015-05-13 11:23,64.86,64.93,64.85,64.93,914,5939,385619.2813
2015-05-13 11:24,64.93,64.94,64.92,64.93,678,4075,264589.75
2015-05-13 11:25,64.93,64.95,64.92,64.94,493,14960,971502.4375
2015-05-13 11:26,64.94,64.99,64.94,64.97,621,11176,726104.75
2015-05-13 11:27,64.97,64.99,64.94,64.96,559,3622,235285.1094
2015-05-13 11:28,64.96,64.99,64.96,64.97,613,4129,268261.125
2015-05-13 11:29,64.97,64.99,64.97,64.98,588,4235,275190.3125
2015-05-13 11:30,64.98,64.98,64.94,64.94,727,5948,386263.125
2015-05-13 11:31,64.94,64.99,64.94,64.96,694,4651,302128.9688
2015-05-13 11:32,64.96,64.99,64.96,64.98,820,5474,355700.5313
2015-05-13 11:33,64.98,65.01,64.98,64.99,930,8023,521414.75
2015-05-13 11:34,64.99,65.06,64.99,65.04,1355,14313,930917.5625
2015-05-13 11:35,65.03,65.06,65.02,65.06,761,5743,373639.5625
2015-05-13 11:36,65.06,65.06,65.03,65.04,590,4781,310956.25
2015-05-13 11:37,65.04,65.04,65,65,497,5644,366860
2015-05-13 11:38,65,65.03,64.99,64.99,742,4917,319555.8125
2015-05-13 11:39,64.99,65,64.98,65,270,2514,163410
2015-05-13 11:40,65,65.02,65,65,706,5567,361855
2015-05-13 11:41,65,65.04,65,65.03,433,3197,207900.9063
2015-05-13 11:42,65.03,65.04,65.01,65.04,583,4010,260810.4063
2015-05-13 11:43,65.04,65.04,65.04,65.04,160,1418,92226.7188
2015-05-13 11:44,65.04,65.04,65.04,65.04,211,1745,113494.8047
2015-05-13 11:45,65.04,65.04,65.04,65.04,279,3980,258859.2031
2015-05-13 11:46,65.04,65.1,65.04,65.1,658,18514,1205261.375
2015-05-13 11:47,65.1,65.1,65.05,65.05,714,10696,695774.8125
2015-05-13 11:48,65.05,65.07,65.04,65.05,515,3331,216681.5625
2015-05-13 11:49,65.05,65.07,65.04,65.04,488,3404,221396.1563
2015-05-13 11:50,65.04,65.04,65.03,65.03,286,1902,123687.0547
2015-05-13 11:51,65.03,65.05,65.03,65.03,653,5764,374832.9063
2015-05-13 11:52,65.03,65.04,65.02,65.02,596,3354,218077.0625
2015-05-13 11:53,65.02,65.05,65.02,65.02,1036,6156,400263.0938
2015-05-13 11:54,65.02,65.05,65.02,65.04,770,7549,490986.9688
2015-05-13 11:55,65.04,65.05,65.03,65.04,295,1656,107706.2422
2015-05-13 11:56,65.04,65.07,65.03,65.06,980,6615,430371.875
2015-05-13 11:57,65.06,65.08,65.06,65.07,476,2901,188768.0625
2015-05-13 11:58,65.07,65.07,65.06,65.07,352,2816,183237.125
2015-05-13 11:59,65.07,65.07,65.02,65.03,551,5671,368785.125
2015-05-13 12:00,65.03,65.07,65.02,65.07,542,4684,304787.875
2015-05-13 12:01,65.07,65.07,65.06,65.07,356,2183,142047.8125
2015-05-13 12:02,65.08,65.08,65.07,65.07,365,2717,176795.1875
2015-05-13 12:03,65.07,65.07,65.06,65.06,279,2113,137471.7813
2015-05-13 12:04,65.06,65.06,65.05,65.05,134,1209,78645.4531
2015-05-13 12:05,65.05,65.05,64.98,64.99,974,11360,738286.375
2015-05-13 12:06,65,65,64.98,65,618,4082,265330
2015-05-13 12:07,65,65.02,65,65.02,522,2818,183226.3438
2015-05-13 12:08,65.02,65.03,65.01,65.01,381,2292,149002.9219
2015-05-13 12:09,65.01,65.04,65.01,65.01,370,3961,257504.625
2015-05-13 12:10,65.01,65.05,65.01,65.02,531,3389,220352.7656
2015-05-13 12:11,65.02,65.02,65.01,65.01,288,2163,140616.6406
2015-05-13 12:12,65.01,65.04,65.01,65.04,293,1315,85527.6016
2015-05-13 12:13,65.04,65.04,65.01,65.03,729,5692,370150.75
2015-05-13 12:14,65.03,65.08,65.03,65.05,606,6934,451056.7188
2015-05-13 12:15,65.06,65.07,65.04,65.05,665,7401,481435.0625
2015-05-13 12:16,65.05,65.05,65.03,65.03,257,1964,127718.9141
2015-05-13 12:17,65.03,65.03,65.01,65.02,408,4170,271133.375
2015-05-13 12:18,65.02,65.06,65.02,65.05,660,7669,498868.4688
2015-05-13 12:19,65.05,65.08,65.05,65.07,365,3128,203538.9531
2015-05-13 12:20,65.07,65.08,65.06,65.06,317,3109,202271.5313
2015-05-13 12:21,65.06,65.08,65.05,65.05,514,5810,377940.5313
2015-05-13 12:22,65.05,65.05,65.03,65.04,498,4413,287021.5313
2015-05-13 12:23,65.04,65.04,65,65,879,4365,283725
2015-05-13 12:24,65,65.03,65,65.02,683,5725,372239.4688
2015-05-13 12:25,65.02,65.02,65,65,414,2730,177450
2015-05-13 12:26,65,65,64.98,64.98,286,2096,136198.0938
2015-05-13 12:27,64.98,64.98,64.94,64.97,971,4833,314000.0313
2015-05-13 12:28,64.97,64.97,64.96,64.97,294,1543,100248.7109
2015-05-13 12:29,64.97,64.98,64.97,64.98,149,318,20663.6406
2015-05-13 12:30,64.98,65.01,64.97,65,493,4374,284310
2015-05-13 12:31,65,65,64.97,64.98,416,3272,212614.5781
2015-05-13 12:32,64.98,65.02,64.98,65.02,308,2238,145514.75
2015-05-13 12:33,65.02,65.05,65.02,65.04,474,4060,264062.4063
2015-05-13 12:34,65.04,65.04,65,65.01,592,5310,345203.125
2015-05-13 12:35,65.01,65.01,64.97,64.98,415,3336,216773.2969
2015-05-13 12:36,64.98,65.04,64.97,64.98,1148,10873,706527.5625
2015-05-13 12:37,64.98,65,64.98,64.99,410,5359,348281.4063
2015-05-13 12:38,64.99,64.99,64.99,64.99,297,5626,365633.7188
2015-05-13 12:39,64.99,65.03,64.99,65.01,413,3636,236376.375
2015-05-13 12:40,65.01,65.04,65.01,65.03,485,5098,331522.9375
2015-05-13 12:41,65.03,65.03,65,65.03,520,4772,310323.1563
2015-05-13 12:42,65.03,65.03,65,65,366,4853,315445
2015-05-13 12:43,65,65,64.98,64.99,341,3681,239228.1875
2015-05-13 12:44,64.99,64.99,64.96,64.98,582,8717,566430.6875
2015-05-13 12:45,64.98,64.98,64.94,64.96,534,5241,340455.3438
2015-05-13 12:46,64.96,64.98,64.95,64.97,554,6612,429581.6563
2015-05-13 12:47,64.97,64.98,64.97,64.98,183,1854,120472.9297
2015-05-13 12:48,64.98,64.99,64.98,64.99,410,4158,270228.4063
2015-05-13 12:49,64.99,64.99,64.97,64.98,368,3027,196694.4688
2015-05-13 12:50,64.98,64.99,64.98,64.99,195,462,30025.3789
2015-05-13 12:51,64.99,65,64.99,65,144,897,58305
2015-05-13 12:52,65,65,64.97,64.97,410,3778,245456.6719
2015-05-13 12:53,64.97,64.97,64.97,64.97,112,1185,76989.4531
2015-05-13 12:54,64.97,64.97,64.94,64.94,210,1539,99942.6641
2015-05-13 12:55,64.94,64.95,64.93,64.94,378,2557,166051.5938
2015-05-13 12:56,64.94,64.94,64.93,64.94,182,1473,95656.625
2015-05-13 12:57,64.94,64.94,64.93,64.94,212,2032,131958.0781
2015-05-13 12:58,64.94,64.94,64.92,64.92,154,1670,108416.3984
2015-05-13 12:59,64.92,64.95,64.92,64.94,478,3429,222679.2656
2015-05-13 13:00,64.94,64.96,64.94,64.96,376,2188,142132.4844
2015-05-13 13:01,64.96,64.99,64.95,64.97,847,7129,463171.125
2015-05-13 13:02,64.97,64.99,64.96,64.97,842,4852,315234.4375
2015-05-13 13:03,64.97,64.99,64.97,64.99,470,2707,175927.9219
2015-05-13 13:04,64.99,64.99,64.98,64.99,216,3779,245597.2031
2015-05-13 13:05,64.99,64.99,64.98,64.99,310,6913,449275.8438
2015-05-13 13:06,64.99,64.99,64.96,64.96,226,2180,141612.7969
2015-05-13 13:07,64.96,64.98,64.93,64.97,477,2288,148651.3594
2015-05-13 13:08,64.97,64.98,64.96,64.96,228,1528,99258.875
2015-05-13 13:09,64.96,64.97,64.95,64.96,354,2148,139534.0781
2015-05-13 13:10,64.96,64.96,64.95,64.95,207,2077,134901.1406
2015-05-13 13:11,64.95,64.96,64.95,64.96,258,2473,160646.0781
2015-05-13 13:12,64.96,64.96,64.92,64.93,709,5183,336532.1875
2015-05-13 13:13,64.93,64.94,64.91,64.92,476,3608,234231.3594
2015-05-13 13:14,64.92,64.93,64.92,64.92,171,1655,107442.5938
2015-05-13 13:15,64.92,64.95,64.92,64.94,293,1960,127282.4063
2015-05-13 13:16,64.94,64.94,64.92,64.92,194,1830,118803.5938
2015-05-13 13:17,64.92,64.92,64.91,64.91,345,2743,178048.1406
2015-05-13 13:18,64.91,64.93,64.91,64.91,563,6361,412892.5313
2015-05-13 13:19,64.91,64.91,64.9,64.91,385,4202,272751.8438
2015-05-13 13:20,64.91,64.92,64.87,64.88,503,5115,331861.1875
2015-05-13 13:21,64.88,64.91,64.88,64.91,402,5600,363496.0313
2015-05-13 13:22,64.91,64.93,64.91,64.93,240,2080,135054.4063
2015-05-13 13:23,64.93,64.93,64.9,64.91,629,6052,392835.3438
2015-05-13 13:24,64.91,64.94,64.91,64.94,300,2348,152479.125
2015-05-13 13:25,64.94,64.94,64.9,64.92,487,3214,208652.875
2015-05-13 13:26,64.92,64.92,64.88,64.89,493,2844,184547.1563
2015-05-13 13:27,64.89,64.92,64.89,64.92,371,2949,191449.0781
2015-05-13 13:28,64.92,64.94,64.91,64.92,563,3416,221766.7188
2015-05-13 13:29,64.92,64.92,64.9,64.92,210,1004,65179.6797
2015-05-13 13:30,64.92,64.94,64.92,64.94,212,1070,69485.8047
2015-05-13 13:31,64.94,64.94,64.92,64.93,352,2183,141742.1875
2015-05-13 13:32,64.93,64.93,64.91,64.91,396,3867,251006.9844
2015-05-13 13:33,64.91,64.92,64.9,64.92,335,2735,177556.1875
2015-05-13 13:34,64.92,64.92,64.91,64.91,227,1567,101713.9766
2015-05-13 13:35,64.91,64.91,64.91,64.91,246,1631,105868.2188
2015-05-13 13:36,64.91,64.91,64.89,64.89,394,3956,256704.8438
2015-05-13 13:37,64.89,64.9,64.89,64.89,234,3458,224389.625
2015-05-13 13:38,64.89,64.89,64.86,64.86,359,5834,378393.25
2015-05-13 13:39,64.86,64.86,64.83,64.84,811,8699,564043.125
2015-05-13 13:40,64.84,64.88,64.84,64.88,285,2475,160578
2015-05-13 13:41,64.88,64.88,64.85,64.85,331,3186,206612.0938
2015-05-13 13:42,64.85,64.85,64.8,64.82,691,6065,393133.3125
2015-05-13 13:43,64.82,64.82,64.78,64.78,519,3817,247265.25
2015-05-13 13:44,64.78,64.81,64.78,64.81,223,1110,71939.0938
2015-05-13 13:45,64.81,64.81,64.77,64.77,341,2191,141911.0625
2015-05-13 13:46,64.77,64.82,64.77,64.82,439,4655,301737.0938
2015-05-13 13:47,64.82,64.82,64.78,64.8,411,3714,240667.2188
2015-05-13 13:48,64.8,64.8,64.8,64.8,126,1445,93636.0078
2015-05-13 13:49,64.8,64.84,64.8,64.84,255,1743,113016.1172
2015-05-13 13:50,64.84,64.85,64.83,64.83,465,3395,220097.8594
2015-05-13 13:51,64.83,64.86,64.83,64.84,471,2149,139341.1563
2015-05-13 13:52,64.84,64.87,64.84,64.86,189,867,56233.6211
2015-05-13 13:53,64.86,64.86,64.84,64.84,360,1723,111719.3125
2015-05-13 13:54,64.84,64.86,64.82,64.85,336,2385,154667.25
2015-05-13 13:55,64.85,64.88,64.85,64.87,288,1510,97953.7031
2015-05-13 13:56,64.87,64.88,64.85,64.88,476,2738,177641.4375
2015-05-13 13:57,64.88,64.88,64.88,64.88,206,1586,102899.6719
2015-05-13 13:58,64.88,64.88,64.86,64.88,290,2826,183350.875
2015-05-13 13:59,64.88,64.88,64.88,64.88,195,2102,136377.75
2015-05-13 14:00,64.88,64.88,64.87,64.87,168,1461,94775.0703
2015-05-13 14:01,64.87,64.88,64.85,64.88,684,4987,323556.5313
2015-05-13 14:02,64.88,64.9,64.88,64.9,130,839,54451.1016
2015-05-13 14:03,64.9,64.92,64.9,64.92,255,1303,84590.7578
2015-05-13 14:04,64.92,64.95,64.92,64.95,151,424,27538.7988
2015-05-13 14:05,64.95,65.01,64.95,64.97,1018,5878,381893.6563
2015-05-13 14:06,64.97,65,64.97,65,750,6099,396435
2015-05-13 14:07,65,65.01,65,65.01,447,3216,209072.1719
2015-05-13 14:08,65.01,65.02,65.01,65.01,330,2199,142957
2015-05-13 14:09,65.01,65.02,65,65.02,95,678,44083.5586
2015-05-13 14:10,65.03,65.05,65.03,65.03,352,2211,143781.3281
2015-05-13 14:11,65.03,65.05,65.02,65.02,492,2491,161964.8125
2015-05-13 14:12,65.02,65.02,65,65,184,1160,75400
2015-05-13 14:13,65,65,64.99,65,197,1396,90740
2015-05-13 14:14,65,65.03,65,65.02,151,917,59623.3359
2015-05-13 14:15,65.02,65.02,65,65,264,2473,160745
2015-05-13 14:16,65,65,64.97,64.99,626,5690,369793.0938
2015-05-13 14:17,64.99,65.01,64.99,65,416,5180,336700
2015-05-13 14:18,65,65.01,64.95,64.99,677,6541,425099.5625
2015-05-13 14:19,64.99,65.01,64.99,65.01,235,1319,85748.1953
2015-05-13 14:20,65.01,65.01,64.95,64.97,786,5690,369679.3125
2015-05-13 14:21,64.97,64.98,64.96,64.98,299,1766,114754.6875
2015-05-13 14:22,64.98,65.01,64.98,65.01,238,1369,88998.6953
2015-05-13 14:23,65.01,65.01,64.99,64.99,252,1480,96185.1953
2015-05-13 14:24,65,65.03,65,65.02,428,3828,248896.5469
2015-05-13 14:25,65.02,65.02,65,65.01,307,2934,190739.3438
2015-05-13 14:26,65.02,65.05,65.02,65.05,495,3529,229561.4531
2015-05-13 14:27,65.05,65.05,65.01,65.04,562,2742,178339.6875
