Date,OPEN,HIGH,LOW,LAST_PRICE,NUMBER_TICKS,VOLUME,VALUE
2015-09-01 4:00,13.12,13.12,13.12,13.12,2,36,472.32
2015-09-01 7:00,13.12,13.12,13.12,13.12,1,18,236.16
2015-09-01 7:50,13.12,13.12,13.12,13.12,1,18,236.16
2015-09-01 8:10,13.12,13.12,13.12,13.12,2,42,551.04
2015-09-01 8:15,13.24,13.24,13.24,13.24,2,90,1191.6
2015-09-01 8:24,13.24,13.24,13.24,13.24,2,90,1191.6
2015-09-01 8:29,13.25,13.25,13.25,13.25,2,52,689
2015-09-01 9:20,13.25,13.25,13.25,13.25,4,104,1378
2015-09-01 9:26,13.25,13.25,13.25,13.25,2,100,1325
2015-09-01 9:29,13.25,13.25,13.18,13.18,10,593,7851.46
2015-09-01 9:35,13.18,13.18,13.18,13.18,3,89,1173.02
2015-09-01 9:36,13.2,13.2,13.2,13.2,5,38,501.6
2015-09-01 9:41,13.2,13.2,13.2,13.2,5,80,1056
2015-09-01 9:42,13.2,13.2,13.2,13.2,10,160,2112
2015-09-01 9:43,13.2,13.21,13.2,13.21,3,25,330.16
2015-09-01 9:44,13.21,13.21,13.21,13.21,2,6,79.26
2015-09-01 9:46,13.21,13.21,13.2,13.21,25,267,3526.6899
2015-09-01 9:48,13.21,13.22,13.21,13.22,17,412,5445.1001
2015-09-01 9:49,13.22,13.22,13.22,13.22,1,12,158.64
2015-09-01 9:51,13.22,13.25,13.22,13.25,18,1210,16001.0605
2015-09-01 9:52,13.25,13.25,13.25,13.25,3,786,10414.5
2015-09-01 9:53,13.25,13.25,13.25,13.25,5,60,795
2015-09-01 9:54,13.25,13.25,13.25,13.25,1,12,159
2015-09-01 9:57,13.25,13.25,13.25,13.25,2,20,265
2015-09-01 9:58,13.25,13.25,13.2,13.23,5,15,198.22
2015-09-01 10:01,13.23,13.23,13.23,13.23,7,96,1270.08
2015-09-01 10:02,13.23,13.23,13.23,13.23,2,30,396.9
2015-09-01 10:04,13.23,13.23,13.23,13.23,3,22,291.06
2015-09-01 10:05,13.23,13.23,13.23,13.23,3,6,79.38
2015-09-01 10:06,13.22,13.23,13.22,13.23,9,83,1097.3099
2015-09-01 10:07,13.23,13.23,13.23,13.23,3,7,92.61
2015-09-01 10:08,13.23,13.23,13.23,13.23,3,6,79.38
2015-09-01 10:09,13.23,13.24,13.23,13.24,5,1014,13425.3398
2015-09-01 10:11,13.24,13.24,13.22,13.22,12,114,1507.3199
2015-09-01 10:14,13.22,13.22,13.22,13.22,5,54,713.88
2015-09-01 10:15,13.22,13.22,13.2,13.21,8,67,885.12
2015-09-01 10:16,13.21,13.21,13.21,13.21,1,13,171.73
2015-09-01 10:17,13.21,13.21,13.21,13.21,7,91,1202.11
2015-09-01 10:18,13.21,13.21,13.21,13.21,4,52,686.92
2015-09-01 10:19,13.21,13.24,13.2,13.2,35,209,2761.25
2015-09-01 10:20,13.21,13.21,13.21,13.21,3,7,92.47
2015-09-01 10:26,13.21,13.21,13.2,13.21,9,54,712.95
2015-09-01 10:29,13.21,13.21,13.21,13.21,4,8,105.68
2015-09-01 10:34,13.21,13.21,13.2,13.2,7,102,1346.4401
2015-09-01 10:36,13.21,13.21,13.2,13.2,7,51,673.32
2015-09-01 10:37,13.21,13.21,13.2,13.2,6,48,633.69
2015-09-01 10:40,13.2,13.21,13.2,13.21,12,89,1175.09
2015-09-01 10:41,13.21,13.21,13.21,13.21,2,8,105.68
2015-09-01 10:42,13.21,13.21,13.21,13.21,3,8,105.68
2015-09-01 10:44,13.21,13.21,13.2,13.21,7,87,1148.47
2015-09-01 10:45,13.21,13.21,13.19,13.2,11,64,844.84
2015-09-01 10:46,13.2,13.2,13.2,13.2,1,2,26.4
2015-09-01 10:47,13.2,13.2,13.2,13.2,2,4,52.8
2015-09-01 10:51,13.2,13.2,13.19,13.2,7,16,211.17
2015-09-01 10:55,13.2,13.2,13.2,13.2,1,3,39.6
2015-09-01 10:57,13.2,13.21,13.2,13.21,12,63,831.78
2015-09-01 10:58,13.21,13.21,13.21,13.21,1,3,39.63
2015-09-01 11:00,13.21,13.21,13.21,13.21,4,8,105.68
2015-09-01 11:01,13.21,13.21,13.2,13.2,20,151,1993.4299
2015-09-01 11:02,13.2,13.2,13.2,13.2,2,34,448.8
2015-09-01 11:08,13.21,13.21,13.21,13.21,2,3,39.63
2015-09-01 11:09,13.21,13.21,13.21,13.21,3,4,52.84
2015-09-01 11:15,13.2,13.2,13.2,13.2,3,39,514.8
2015-09-01 11:20,13.2,13.22,13.2,13.21,19,57,752.92
2015-09-01 11:22,13.21,13.21,13.21,13.21,1,4,52.84
2015-09-01 11:23,13.21,13.22,13.21,13.22,5,105,1388.05
2015-09-01 11:24,13.22,13.22,13.22,13.22,6,70,925.4
2015-09-01 11:25,13.21,13.21,13.21,13.21,4,8,105.68
2015-09-01 11:26,13.21,13.22,13.21,13.22,8,13,171.84
2015-09-01 11:32,13.22,13.24,13.22,13.24,29,415,5492.2798
2015-09-01 11:33,13.24,13.24,13.23,13.23,13,81,1072.38
2015-09-01 11:34,13.24,13.24,13.24,13.24,6,104,1376.96
2015-09-01 11:35,13.24,13.24,13.24,13.24,4,108,1429.9199
2015-09-01 11:36,13.24,13.24,13.24,13.24,6,198,2621.52
2015-09-01 11:37,13.24,13.24,13.24,13.24,2,88,1165.12
2015-09-01 11:38,13.24,13.24,13.24,13.24,9,374,4951.7603
2015-09-01 11:39,13.24,13.24,13.22,13.24,66,1060,14030.7695
2015-09-01 11:40,13.24,13.24,13.24,13.24,6,114,1509.36
2015-09-01 11:41,13.24,13.24,13.24,13.24,1,11,145.64
2015-09-01 11:42,13.24,13.24,13.23,13.23,11,267,3532.5898
2015-09-01 11:43,13.23,13.23,13.22,13.22,9,113,1493.96
2015-09-01 11:45,13.22,13.22,13.22,13.22,2,38,502.36
2015-09-01 11:50,13.22,13.22,13.22,13.22,1,19,251.18
2015-09-01 11:52,13.23,13.23,13.23,13.23,6,27,357.21
2015-09-01 11:54,13.23,13.24,13.23,13.24,18,518,6857.98
2015-09-01 11:58,13.24,13.24,13.24,13.24,5,116,1535.84
