Date,OPEN,HIGH,LOW,LAST_PRICE,NUMBER_TICKS,VOLUME,VALUE
2015-09-01 9:29,13.24,13.24,13.24,13.24,13,11500,152260
2015-09-01 9:36,13.2,13.2,13.2,13.2,2,900,11880
2015-09-01 9:44,13.21,13.21,13.21,13.21,1,500,6605
2015-09-01 9:46,13.24,13.24,13.24,13.24,4,2300,30452
2015-09-01 9:48,13.24,13.25,13.24,13.25,5,3300,43721
2015-09-01 9:51,13.25,13.25,13.25,13.25,3,900,11925
2015-09-01 9:57,13.25,13.25,13.25,13.25,1,200,2650
2015-09-01 9:58,13.25,13.25,13.25,13.25,3,1000,13250
2015-09-01 10:05,13.26,13.26,13.26,13.26,1,100,1326
2015-09-01 10:11,13.24,13.24,13.24,13.24,1,600,7944
2015-09-01 10:19,13.24,13.24,13.24,13.24,2,300,3972
2015-09-01 10:40,13.22,13.22,13.22,13.22,1,100,1322
2015-09-01 10:45,13.22,13.22,13.2,13.2,4,2300,30364
2015-09-01 10:51,13.22,13.22,13.22,13.22,1,100,1322
2015-09-01 10:57,13.22,13.23,13.22,13.23,2,1000,13228
2015-09-01 11:01,13.21,13.21,13.21,13.21,3,400,5284
2015-09-01 11:15,13.21,13.21,13.21,13.21,1,100,1321
2015-09-01 11:20,13.22,13.22,13.22,13.22,1,100,1322
2015-09-01 11:24,13.22,13.22,13.22,13.22,2,2800,37016
2015-09-01 11:25,13.22,13.22,13.22,13.22,2,800,10576
2015-09-01 11:26,13.22,13.22,13.22,13.22,1,100,1322
2015-09-01 11:32,13.24,13.25,13.24,13.25,5,1900,25157
2015-09-01 11:33,13.24,13.24,13.24,13.24,2,300,3972
2015-09-01 11:38,13.24,13.24,13.24,13.24,2,400,5296
2015-09-01 11:39,13.24,13.25,13.24,13.24,15,8600,113869
2015-09-01 11:42,13.24,13.24,13.24,13.24,2,200,2648
2015-09-01 11:54,13.24,13.24,13.24,13.24,6,3100,41044
2015-09-01 11:58,13.25,13.25,13.25,13.25,1,3000,39750
2015-09-01 12:04,13.25,13.25,13.25,13.25,3,600,7950
2015-09-01 12:11,13.25,13.25,13.25,13.25,1,100,1325
2015-09-01 12:12,13.25,13.25,13.25,13.25,1,1200,15900
2015-09-01 12:13,13.26,13.26,13.26,13.26,3,1900,25194
