Date,OPEN,HIGH,LOW,LAST_PRICE,NUMBER_TICKS,VOLUME,VALUE
2015-09-01 9:29,58.45,58.45,58.45,58.45,11,4200,245490
2015-09-01 9:30,58.55,58.9,58.55,58.9,11,1100,64595
2015-09-01 9:31,59.07,59.26,59.055,59.26,12,1500,88714.5
2015-09-01 9:32,59.24,59.25,59.02,59.18,23,2900,171479
2015-09-01 9:33,59.35,59.53,59.35,59.42,50,6100,362343
2015-09-01 9:34,59.39,59.39,59.3,59.3,21,3200,189914
2015-09-01 9:35,59.33,59.41,59.33,59.41,4,400,23745
2015-09-01 9:37,59.5,59.51,59.38,59.39,43,5000,297369
2015-09-01 9:39,59.37,59.38,59.33,59.33,32,5000,296811
2015-09-01 9:40,59.3,59.35,59.25,59.25,21,2500,148233
2015-09-01 9:41,59.25,59.25,59.2,59.25,13,2000,118484
2015-09-01 9:42,59.25,59.29,59.22,59.29,3,400,23701
2015-09-01 9:43,59.3,59.36,59.3,59.35,15,7100,421379
2015-09-01 9:44,59.35,59.35,59.35,59.35,1,100,5935
2015-09-01 9:45,59.38,59.45,59.37,59.37,11,1200,71282
2015-09-01 9:46,59.4,59.4,59.4,59.4,30,4300,255420
2015-09-01 9:47,59.46,59.54,59.37,59.37,15,7500,445463
2015-09-01 9:48,59.37,59.37,59.37,59.37,1,5800,344346
2015-09-01 9:49,59.41,59.41,59.4,59.4,9,1200,71281
2015-09-01 9:50,59.37,59.52,59.3,59.5,35,4100,243584
2015-09-01 9:53,59.5,59.53,59.5,59.53,15,2400,142805
2015-09-01 9:54,59.56,59.57,59.56,59.57,2,200,11913
2015-09-01 9:55,59.52,59.52,59.5,59.5,10,1200,71402
2015-09-01 9:56,59.49,59.51,59.44,59.5,14,1800,107074
2015-09-01 9:57,59.5,59.5,59.5,59.5,1,900,53550
2015-09-01 10:00,59.5,59.52,59.41,59.41,53,7700,458131
2015-09-01 10:01,59.37,59.37,59.37,59.37,1,100,5937
2015-09-01 10:02,59.32,59.32,59.28,59.32,11,3600,213433
2015-09-01 10:03,59.33,59.37,59.33,59.35,30,3400,201787
2015-09-01 10:04,59.35,59.35,59.35,59.35,1,200,11870
