Date,OPEN,HIGH,LOW,LAST_PRICE,NUMBER_TICKS,VOLUME,VALUE
2015-10-05 9:01,109.82,109.87,109.8,109.87,36,74,8130.3804
2015-10-05 9:02,109.85,109.97,109.85,109.97,11,13,1429.61
2015-10-05 9:03,109.97,109.97,109.9,109.92,22,58,6375.3599
2015-10-05 9:04,109.92,109.97,109.92,109.97,5,16,1759.52
2015-10-05 9:05,109.95,109.98,109.95,109.98,5,14,1539.7201
2015-10-05 9:06,109.98,110.04,109.98,109.99,16,140,15398.5996
2015-10-05 9:07,109.98,109.98,109.87,109.89,25,42,4615.3799
2015-10-05 9:08,109.87,109.93,109.87,109.93,11,14,1539.02
2015-10-05 9:09,109.92,109.94,109.85,109.93,21,60,6595.7998
2015-10-05 9:11,109.95,109.95,109.94,109.95,5,77,8466.1494
2015-10-05 9:12,109.97,109.99,109.94,109.95,16,53,5827.3496
2015-10-05 9:13,109.95,109.95,109.9,109.94,6,41,4507.54
2015-10-05 9:14,109.9,109.94,109.9,109.92,7,53,5825.7598
2015-10-05 9:15,109.93,109.93,109.9,109.9,2,8,879.2
2015-10-05 9:16,109.89,109.9,109.8,109.88,9,33,3626.0398
2015-10-05 9:17,109.87,109.87,109.83,109.83,4,12,1317.96
2015-10-05 9:18,109.81,109.84,109.75,109.83,30,102,11202.6602
2015-10-05 9:19,109.8,109.83,109.8,109.83,5,17,1867.11
2015-10-05 9:20,109.83,109.88,109.83,109.88,6,41,4505.0801
2015-10-05 9:21,109.8,109.8,109.8,109.8,4,65,7137
2015-10-05 9:22,109.8,109.8,109.8,109.8,1,25,2745
2015-10-05 9:24,109.8,109.8,109.73,109.75,9,125,13718.75
2015-10-05 9:26,109.74,109.74,109.72,109.72,12,16,1755.52
2015-10-05 9:27,109.73,109.73,109.73,109.73,2,2,219.46
2015-10-05 9:28,109.78,109.9,109.75,109.9,20,298,32750.2012
2015-10-05 9:29,109.89,109.9,109.75,109.84,128,885,97208.3984
2015-10-05 9:30,109.84,110.15,109.8,110.05,2379,9613,1057910.625
2015-10-05 9:31,110.05,110.07,109.79,109.8,1347,10284,1129183.25
2015-10-05 9:32,109.8,109.86,109.54,109.54,987,3169,347132.25
2015-10-05 9:33,109.54,109.77,109.44,109.44,875,3087,337841.2813
2015-10-05 9:34,109.45,109.56,109.3,109.56,1071,4205,460699.7813
2015-10-05 9:35,109.56,109.85,109.53,109.83,1399,6261,687645.625
2015-10-05 9:36,109.83,110.09,109.81,110.05,1205,6108,672185.4375
2015-10-05 9:37,110.05,110.1,109.8,109.83,534,2289,251400.875
2015-10-05 9:38,109.83,109.87,109.59,109.61,871,3733,409174.125
2015-10-05 9:39,109.6,109.61,109.38,109.42,942,3972,434616.2188
2015-10-05 9:40,109.43,109.52,109.4,109.4,649,2054,224707.6094
2015-10-05 9:41,109.4,109.4,109.16,109.25,886,3927,429024.75
2015-10-05 9:42,109.25,109.46,109.22,109.45,798,2837,310509.6563
2015-10-05 9:43,109.45,109.49,109.38,109.42,410,1593,174306.0625
2015-10-05 9:44,109.42,109.44,109.3,109.35,425,1590,173866.5
2015-10-05 9:45,109.35,109.54,109.31,109.53,626,5831,638669.4375
2015-10-05 9:46,109.53,109.6,109.41,109.5,1184,6741,738139.5
