Date,OPEN,HIGH,LOW,LAST_PRICE,NUMBER_TICKS,VOLUME,VALUE
2015-10-05 9:01,47,52,47,47,36,74,8130.3804
2015-10-05 9:02,48,48,47,49,11,13,1429.61
2015-10-05 9:03,52,52,51,53,22,58,6375.3599
2015-10-05 9:04,50,51,54,48,5,16,1759.52
2015-10-05 9:05,47,50,47,52,5,14,1539.7201
2015-10-05 9:06,51,49,52,53,16,140,15398.5996
2015-10-05 9:07,54,53,48,53,25,42,4615.3799
2015-10-05 9:08,54,51,47,54,11,14,1539.02
2015-10-05 9:09,47,47,47,52,21,60,6595.7998
2015-10-05 9:11,53,48,50,48,5,77,8466.1494
2015-10-05 9:12,52,48,54,53,16,53,5827.3496
2015-10-05 9:13,51,51,51,53,6,41,4507.54
2015-10-05 9:14,48,51,52,51,7,53,5825.7598
2015-10-05 9:15,52,51,51,49,2,8,879.2
2015-10-05 9:16,54,53,51,51,9,33,3626.0398
2015-10-05 9:17,50,51,48,54,4,12,1317.96
2015-10-05 9:18,52,50,48,49,30,102,11202.6602
2015-10-05 9:19,52,50,47,53,5,17,1867.11
2015-10-05 9:20,48,54,49,53,6,41,4505.0801
2015-10-05 9:21,53,54,54,51,4,65,7137
2015-10-05 9:22,52,54,51,54,1,25,2745
2015-10-05 9:24,51,54,52,53,9,125,13718.75
2015-10-05 9:26,52,48,51,53,12,16,1755.52
2015-10-05 9:27,54,47,52,48,2,2,219.46
2015-10-05 9:28,54,51,49,51,20,298,32750.2012
2015-10-05 9:29,47,50,50,51,128,885,97208.3984
2015-10-05 9:30,50,51,50,48,2379,9613,1057910.625
2015-10-05 9:31,47,50,48,48,1347,10284,1129183.25
2015-10-05 9:32,48,48,50,51,987,3169,347132.25
2015-10-05 9:33,50,49,53,49,875,3087,337841.2813
2015-10-05 9:34,47,49,49,53,1071,4205,460699.7813
2015-10-05 9:35,51,47,50,52,1399,6261,687645.625
2015-10-05 9:36,53,50,53,54,1205,6108,672185.4375
2015-10-05 9:37,47,50,51,53,534,2289,251400.875
2015-10-05 9:38,47,50,48,53,871,3733,409174.125
2015-10-05 9:39,47,49,47,50,942,3972,434616.2188
2015-10-05 9:40,47,53,51,50,649,2054,224707.6094
2015-10-05 9:41,51,54,51,47,886,3927,429024.75
2015-10-05 9:42,51,50,48,52,798,2837,310509.6563
2015-10-05 9:43,51,47,48,51,410,1593,174306.0625
2015-10-05 9:44,49,49,49,47,425,1590,173866.5
2015-10-05 9:45,50,48,48,48,626,5831,638669.4375
2015-10-05 9:46,47,51,53,49,1184,6741,738139.5
2015-10-05 9:47,47,51,53,50,2300,15208,1667557.25
2015-10-05 9:48,47,49,52,52,1942,16027,1759764.625
2015-10-05 9:49,51,50,50,49,1814,13768,1510762.625
2015-10-05 9:50,47,49,48,50,1703,12015,1319247
2015-10-05 9:51,47,49,50,47,2080,10299,1129903.25
2015-10-05 9:52,48,50,51,48,1826,9801,1073601.5
2015-10-05 9:53,52,54,49,50,1954,9415,1031413.25
2015-10-05 9:54,50,50,47,47,1690,9798,1073370.875
2015-10-05 9:55,47,48,50,52,1802,8642,947854.5625
2015-10-05 9:56,51,53,50,47,1868,10603,1162194.875
2015-10-05 9:57,48,48,48,51,1726,10213,1117608.625
2015-10-05 9:58,52,53,51,53,416,2411,263739.2813
2015-10-05 9:59,54,48,53,52,490,1837,201151.5
2015-10-05 10:00,54,54,51,52,721,3098,339726.6875
2015-10-05 10:01,54,53,54,51,1014,4254,466366
2015-10-05 10:02,49,50,48,53,1860,9897,1084612.25
2015-10-05 10:03,53,54,48,50,2011,11399,1248646.5
2015-10-05 10:04,54,52,52,51,1922,12372,1355600
2015-10-05 10:05,47,54,51,48,1630,8788,963428.4375
2015-10-05 10:06,48,52,50,49,1432,8734,956722.375
2015-10-05 10:07,54,54,49,50,1508,10631,1164838.625
2015-10-05 10:08,49,47,48,47,1885,13509,1479370.625
2015-10-05 10:09,47,54,48,48,1854,12181,1333454.125
2015-10-05 10:10,53,52,47,48,1877,12245,1340705
2015-10-05 10:11,48,54,50,54,2241,17622,1927494.25
2015-10-05 10:12,52,53,53,51,2122,16882,1845371.375
2015-10-05 10:13,49,50,52,51,1528,10658,1164599.625
2015-10-05 10:14,51,47,54,54,1676,11775,1286772
2015-10-05 10:15,48,51,50,47,1511,10593,1156967.5
2015-10-05 10:16,48,51,52,54,1551,8789,960374
2015-10-05 10:17,51,51,48,50,2193,15589,1702007
2015-10-05 10:18,52,53,49,51,1456,7520,821108.8125
2015-10-05 10:19,49,49,51,52,1403,9073,990227.1875
2015-10-05 10:20,49,48,50,47,2232,16233,1773455.25
2015-10-05 10:21,47,49,50,53,2642,19032,2080387.875
2015-10-05 10:22,49,50,54,54,1523,13871,1517764.75
2015-10-05 10:23,47,48,48,51,1642,11316,1237857.25
2015-10-05 10:24,54,51,48,53,1557,10850,1187424
2015-10-05 10:25,53,48,54,49,1234,13364,1462957.125
2015-10-05 10:26,49,47,47,52,1515,9076,993277.4375
2015-10-05 10:27,47,47,50,54,824,7080,775047.625
2015-10-05 10:28,50,50,50,53,997,27129,2971710.75
2015-10-05 10:29,54,47,54,54,1514,11700,1282905
2015-10-05 10:30,52,51,51,50,1093,18259,2001734.125
2015-10-05 10:31,52,53,54,54,516,5666,621106.9375
2015-10-05 10:32,50,51,52,49,593,7727,846879.1875
2015-10-05 10:33,51,48,48,52,586,6097,667926.375
2015-10-05 10:34,47,53,50,49,1086,9563,1047244.125
2015-10-05 10:35,49,54,50,51,1082,8721,955036.75
2015-10-05 10:36,51,48,48,48,1185,8526,933682.25
2015-10-05 10:37,51,51,47,52,1115,16577,1816176.125
2015-10-05 10:38,48,51,50,47,1037,8179,895845.875
2015-10-05 10:39,49,53,54,54,1649,13277,1453831.5
2015-10-05 10:40,50,54,47,50,1170,8622,943419.25
2015-10-05 10:41,52,51,51,50,2329,14269,1560885.875
2015-10-05 10:42,51,54,49,51,1509,10731,1173864.125
2015-10-05 10:43,52,52,48,50,1026,7271,796174.5
2015-10-05 10:44,53,49,47,48,1597,18840,2063733.625
2015-10-05 10:45,50,50,53,54,1230,10168,1114311.125
2015-10-05 10:46,50,51,53,53,1227,8892,973940.75
2015-10-05 10:47,51,50,50,50,1211,9614,1052829.125
2015-10-05 10:48,48,53,53,52,1247,8617,943906.1875
2015-10-05 10:49,54,50,47,49,1025,7039,771122.5
2015-10-05 10:50,48,52,51,52,1105,11330,1241768
2015-10-05 10:51,53,53,51,53,1154,8470,928057.875
2015-10-05 10:52,49,48,50,49,1228,12203,1337570.875
2015-10-05 10:53,49,52,52,50,2023,21845,2398799.5
2015-10-05 10:54,52,49,53,49,1107,9492,1043455.563
2015-10-05 10:55,53,53,53,48,1115,15146,1665302.625
2015-10-05 10:56,51,51,52,48,820,11361,1249937.125
2015-10-05 10:57,54,50,53,51,902,6310,694478.5625
2015-10-05 10:58,48,48,50,50,1171,7856,864552.8125
2015-10-05 10:59,53,47,47,49,1312,9258,1017917.063
2015-10-05 11:00,50,51,48,49,931,6790,746492.625
2015-10-05 11:01,53,49,50,53,1213,8251,907032.4375
2015-10-05 11:02,51,48,51,53,1067,7703,846713.75
2015-10-05 11:03,53,53,53,50,1120,7092,779907.25
2015-10-05 11:04,52,51,52,50,1256,11776,1295360
2015-10-05 11:05,50,53,51,51,1438,11718,1290269
2015-10-05 11:06,49,48,54,47,1181,9419,1037031.875
2015-10-05 11:07,54,52,54,50,1295,9169,1011157.313
2015-10-05 11:08,53,54,52,50,1350,8941,985566.4375
2015-10-05 11:09,47,51,48,49,1300,8466,933461.1875
2015-10-05 11:10,50,51,53,49,1116,8631,951740.3125
2015-10-05 11:11,49,49,51,54,1026,6626,729853.9375
2015-10-05 11:12,50,50,49,54,942,7884,869132.125
2015-10-05 11:13,50,48,50,54,950,8687,957307.375
2015-10-05 11:14,52,52,48,51,1087,8661,953489.4375
2015-10-05 11:15,50,51,52,54,1825,13254,1458602.75
2015-10-05 11:16,53,50,53,51,1430,8761,964060.4375
2015-10-05 11:17,48,52,52,52,1128,8041,884590.4375
2015-10-05 11:18,48,49,51,49,1086,7157,787198.4375
2015-10-05 11:19,53,51,54,51,1364,7838,861866.5
2015-10-05 11:20,49,54,54,52,1418,8828,969932.375
2015-10-05 11:21,50,48,47,54,1224,8378,920826
2015-10-05 11:22,50,47,52,53,793,5612,617039.375
2015-10-05 11:23,51,54,51,52,1289,9397,1032824.313
2015-10-05 11:24,48,52,47,49,1036,6375,700803.75
2015-10-05 11:25,51,50,53,47,1461,10839,1191422.875
2015-10-05 11:26,52,48,53,48,1209,10137,1114563.125
2015-10-05 11:27,53,51,49,52,902,6386,701885.3125
2015-10-05 11:28,48,49,48,48,1457,15183,1666789.75
2015-10-05 11:29,53,54,51,47,1794,13230,1452124.875
2015-10-05 11:30,47,48,49,51,845,5870,644526
2015-10-05 11:31,52,50,47,53,1411,9508,1044739
2015-10-05 11:32,50,48,54,50,1259,8625,947111.25
2015-10-05 11:33,51,53,47,51,801,5660,621864.1875
2015-10-05 11:34,49,52,49,53,1168,8063,885639.875
2015-10-05 11:35,50,53,53,52,1098,8534,936947.875
2015-10-05 11:36,49,48,49,47,785,5674,622778.25
2015-10-05 11:37,53,47,51,53,907,6543,718094.25
2015-10-05 11:38,48,51,47,54,1059,7747,850155.75
2015-10-05 11:39,53,49,50,52,1046,7857,861991.4375
2015-10-05 11:40,49,51,52,53,1113,8508,933157.4375
2015-10-05 11:41,49,51,50,48,967,8625,946335
2015-10-05 11:42,51,48,49,48,1142,9664,1059947.5
2015-10-05 11:43,50,47,48,52,965,7697,844360.875
2015-10-05 11:44,52,53,50,54,901,7765,851432.25
2015-10-05 11:45,51,53,53,48,836,7126,781722.1875
2015-10-05 11:46,47,54,50,54,912,10203,1118044.75
2015-10-05 11:47,49,47,54,54,709,6955,762059.375
2015-10-05 11:48,49,53,49,47,741,7221,790988.375
2015-10-05 11:49,53,50,51,50,919,7238,792922.9375
2015-10-05 11:50,49,49,53,48,587,4814,527566.25
2015-10-05 11:51,48,47,48,54,687,6526,715706.4375
2015-10-05 11:52,53,48,53,50,873,6686,733320.5
2015-10-05 11:53,48,50,50,49,489,2911,319453.125
2015-10-05 11:54,48,53,54,50,845,6208,681390.0625
2015-10-05 11:55,48,48,52,48,566,4733,519162.7813
2015-10-05 11:56,47,49,49,48,916,8118,890463.4375
2015-10-05 11:57,50,49,53,49,389,3286,360441.3438
2015-10-05 11:58,53,53,54,51,717,6014,659735.8125
2015-10-05 11:59,47,47,52,48,729,14081,1544826.5
2015-10-05 12:00,48,49,48,48,767,8707,954983.75
2015-10-05 12:01,52,51,48,50,724,7292,799786.5625
2015-10-05 12:02,54,54,48,48,1135,11433,1252942.375
2015-10-05 12:03,48,48,48,47,550,4293,470555.7188
2015-10-05 12:04,48,51,48,47,524,3903,427885.875
2015-10-05 12:05,51,50,53,47,794,6047,663416.375
2015-10-05 12:06,49,54,51,54,1519,13125,1440206.25
2015-10-05 12:07,49,52,47,50,817,5737,629406.25
2015-10-05 12:08,53,47,51,51,517,3220,353266.1875
2015-10-05 12:09,47,52,49,54,773,5822,638382.3125
2015-10-05 12:10,52,50,52,51,518,4570,501054.8125
2015-10-05 12:11,52,50,50,52,1055,9738,1067674.375
2015-10-05 12:12,53,52,49,54,712,9258,1014399.063
2015-10-05 12:13,53,54,49,48,914,7085,776303.4375
2015-10-05 12:14,51,54,53,51,419,3028,331747.6875
2015-10-05 12:15,47,48,51,47,603,5229,572836.9375
2015-10-05 12:16,49,51,47,50,559,5197,569487.25
2015-10-05 12:17,50,51,48,54,1037,20468,2243906.75
2015-10-05 12:18,51,51,51,48,1230,119350,13087921
2015-10-05 12:19,51,52,52,48,1009,10681,1172560.125
2015-10-05 12:20,50,54,54,48,1339,10353,1135827.625
2015-10-05 12:21,54,52,49,54,838,6238,684558.125
2015-10-05 12:22,50,49,51,53,637,4911,538736.6875
2015-10-05 12:23,51,51,52,53,1081,9751,1069587.25
2015-10-05 12:24,54,47,47,48,1245,8419,923564.25
2015-10-05 12:25,51,51,53,53,973,7392,811937.25
2015-10-05 12:26,47,53,52,48,1429,9039,993386.125
2015-10-05 12:27,48,48,49,48,1078,8497,933565.4375
2015-10-05 12:28,48,54,51,52,1076,8070,886650.9375
2015-10-05 12:29,53,51,47,49,697,8530,936764.625
2015-10-05 12:30,54,54,48,51,708,6038,663334.6875
2015-10-05 12:31,49,53,54,48,858,7647,840634.6875
2015-10-05 12:32,49,52,48,51,862,8074,887413.375
2015-10-05 12:33,49,47,52,51,871,6253,687517.3125
2015-10-05 12:34,54,50,49,48,544,6688,735680
2015-10-05 12:35,51,48,53,52,732,8689,955616.25
2015-10-05 12:36,50,54,53,53,871,7093,780230
2015-10-05 12:37,47,52,53,54,845,8174,899058.25
2015-10-05 12:38,50,50,49,47,737,8105,891468.9375
2015-10-05 12:39,47,52,51,47,735,8984,989138.375
2015-10-05 12:40,54,53,47,50,1149,11284,1241127.125
2015-10-05 12:41,54,52,52,53,824,11216,1233423.5
2015-10-05 12:42,47,50,50,47,732,9542,1049810.75
2015-10-05 12:43,50,53,49,51,1224,15739,1730817.875
2015-10-05 12:44,54,49,51,52,885,10018,1102681.25
2015-10-05 12:45,51,53,52,51,1615,12744,1402477.25
2015-10-05 12:46,50,49,54,52,1260,9540,1049590.75
2015-10-05 12:47,47,53,54,47,908,5940,653697
2015-10-05 12:48,52,47,50,50,879,6166,678568.3125
2015-10-05 12:49,52,51,49,47,622,4105,451878.4063
2015-10-05 12:50,53,48,48,48,881,9685,1066705.875
2015-10-05 12:51,48,47,52,51,577,5253,578512.875
2015-10-05 12:52,48,50,51,52,1198,11657,1282852.875
2015-10-05 12:53,51,47,48,47,467,3137,345477.8125
2015-10-05 12:54,52,53,53,47,512,12117,1333839.375
2015-10-05 12:55,53,54,47,53,493,14308,1575167.625
2015-10-05 12:56,47,48,54,49,1165,10748,1182602.375
2015-10-05 12:57,53,53,49,50,1235,13233,1454703.75
2015-10-05 12:58,49,52,49,53,1057,9894,1088043.25
2015-10-05 12:59,49,48,48,53,674,6655,731717.25
2015-10-05 13:00,47,54,50,47,921,7900,868605
2015-10-05 13:01,53,50,49,48,700,5233,575316.0625
2015-10-05 13:02,47,50,51,51,1051,9003,989249.625
2015-10-05 13:03,54,52,50,54,711,5542,609176.625
2015-10-05 13:04,48,47,49,48,583,5453,599775.4375
2015-10-05 13:05,54,54,51,47,618,5984,658299.875
2015-10-05 13:06,52,51,51,48,716,11321,1247121.375
2015-10-05 13:07,49,50,53,49,981,8688,956896.3125
2015-10-05 13:08,51,51,50,52,565,4288,472280.3125
2015-10-05 13:09,54,49,50,52,666,6181,681331.625
2015-10-05 13:10,52,49,48,52,523,7467,823759.4375
2015-10-05 13:11,54,49,48,47,933,17563,1938252.75
2015-10-05 13:12,49,54,53,54,989,18189,2010794
2015-10-05 13:13,49,53,51,50,1302,11024,1218372.5
2015-10-05 13:14,50,53,53,52,1129,9432,1041387.125
