Date,OPEN,HIGH,LOW,LAST_PRICE,NUMBER_TICKS,VOLUME,VALUE
2015-10-05 9:00,109.81,109.85,109.77,109.82,30,91,9993.6201
2015-10-05 9:01,109.82,109.85,109.82,109.85,5,20,2197
2015-10-05 9:02,109.85,109.92,109.83,109.88,14,271,29777.4785
2015-10-05 9:03,109.9,109.91,109.88,109.9,16,56,6154.3999
2015-10-05 9:04,109.91,109.94,109.91,109.93,5,14,1539.02
2015-10-05 9:05,109.93,109.97,109.92,109.95,19,45,4947.75
2015-10-05 9:06,109.97,109.99,109.97,109.98,14,268,29474.6406
2015-10-05 9:07,109.98,109.98,109.82,109.83,18,282,30972.0605
2015-10-05 9:08,109.82,109.87,109.82,109.87,21,120,13184.4004
2015-10-05 9:09,109.86,109.93,109.82,109.85,22,121,13291.8496
2015-10-05 9:10,109.87,109.9,109.85,109.87,13,108,11865.96
2015-10-05 9:11,109.94,109.94,109.88,109.88,4,13,1428.4399
2015-10-05 9:12,109.89,109.95,109.88,109.88,14,30,3296.3999
2015-10-05 9:13,109.9,109.9,109.88,109.88,2,5,549.4
2015-10-05 9:14,109.9,109.91,109.88,109.88,4,45,4944.6001
2015-10-05 9:15,109.91,109.91,109.88,109.88,8,32,3516.1599
2015-10-05 9:16,109.87,109.87,109.79,109.81,16,18,1976.58
2015-10-05 9:17,109.8,109.82,109.78,109.82,9,12,1317.84
2015-10-05 9:18,109.8,109.83,109.74,109.76,24,84,9219.8398
2015-10-05 9:19,109.76,109.78,109.76,109.78,11,28,3073.8398
2015-10-05 9:20,109.8,109.84,109.8,109.83,6,10,1098.3
2015-10-05 9:21,109.81,109.81,109.75,109.75,12,17,1865.75
2015-10-05 9:22,109.76,109.76,109.75,109.76,5,17,1865.92
2015-10-05 9:23,109.76,109.76,109.76,109.76,1,11,1207.36
2015-10-05 9:24,109.76,109.76,109.71,109.71,20,166,18211.8594
2015-10-05 9:25,109.7,109.7,109.7,109.7,2,49,5375.2998
2015-10-05 9:26,109.69,109.72,109.69,109.69,4,6,658.14
2015-10-05 9:27,109.69,109.72,109.69,109.69,4,7,767.83
2015-10-05 9:28,109.69,109.85,109.69,109.8,59,105,11529
2015-10-05 9:29,109.8,109.96,109.71,109.8,185,498,54680.4023
2015-10-05 9:30,109.8,110.14,109.77,110.04,2524,7321,805602.875
2015-10-05 9:31,110.04,110.06,109.77,109.77,1318,5736,629640.6875
2015-10-05 9:32,109.78,109.85,109.52,109.53,882,5252,575251.5625
2015-10-05 9:33,109.53,109.73,109.42,109.43,832,6039,660847.75
2015-10-05 9:34,109.43,109.54,109.29,109.53,1110,6925,758495.25
2015-10-05 9:35,109.53,109.84,109.51,109.82,1584,4830,530430.625
2015-10-05 9:36,109.82,110.06,109.79,110.02,1307,4018,442060.3438
2015-10-05 9:37,110.02,110.09,109.78,109.82,535,1897,208328.5469
2015-10-05 9:38,109.82,109.86,109.58,109.59,765,3760,412058.375
2015-10-05 9:39,109.58,109.6,109.36,109.41,1094,6236,682280.8125
2015-10-05 9:40,109.41,109.5,109.39,109.39,750,5064,553950.9375
2015-10-05 9:41,109.39,109.39,109.14,109.24,823,10379,1133802
2015-10-05 9:42,109.24,109.45,109.19,109.43,765,2888,316033.8438
2015-10-05 9:43,109.43,109.47,109.36,109.41,447,3409,372978.6875
2015-10-05 9:44,109.41,109.41,109.28,109.32,331,1771,193605.7188
2015-10-05 9:45,109.32,109.53,109.3,109.52,477,3813,417599.75
2015-10-05 9:46,109.52,109.59,109.38,109.49,1069,4555,498726.9375
2015-10-05 9:47,109.49,109.7,109.49,109.64,2357,16654,1825944.5
2015-10-05 9:48,109.64,109.79,109.63,109.78,1994,13882,1523966
2015-10-05 9:49,109.78,109.82,109.7,109.71,1818,12146,1332537.625
2015-10-05 9:50,109.71,109.83,109.65,109.79,1564,10830,1189025.75
2015-10-05 9:51,109.79,109.84,109.61,109.7,2090,11011,1207906.625
2015-10-05 9:52,109.7,109.7,109.51,109.53,1544,8854,969778.625
2015-10-05 9:53,109.53,109.7,109.47,109.54,2025,12300,1347342
2015-10-05 9:54,109.54,109.67,109.52,109.54,1762,10633,1164738.875
2015-10-05 9:55,109.54,109.68,109.53,109.67,1646,8668,950619.5625
2015-10-05 9:56,109.67,109.72,109.55,109.6,1665,9084,995606.375
2015-10-05 9:57,109.6,109.6,109.36,109.42,1415,7202,788042.8125
2015-10-05 9:58,109.42,109.42,109.35,109.38,354,2287,250152.0469
2015-10-05 9:59,109.38,109.53,109.37,109.49,678,2672,292557.2813
2015-10-05 10:00,109.5,109.69,109.49,109.64,786,3276,359180.625
2015-10-05 10:01,109.64,109.64,109.46,109.61,1046,5916,648452.75
2015-10-05 10:02,109.62,109.62,109.53,109.58,1632,8059,883105.25
2015-10-05 10:03,109.58,109.62,109.46,109.53,1651,11062,1211620.875
2015-10-05 10:04,109.53,109.59,109.47,109.56,1949,11341,1242519.875
2015-10-05 10:05,109.56,109.67,109.56,109.62,1464,9147,1002694.188
2015-10-05 10:06,109.62,109.64,109.5,109.53,1337,7800,854334
2015-10-05 10:07,109.53,109.65,109.53,109.56,1564,8032,879985.875
2015-10-05 10:08,109.56,109.63,109.47,109.5,1685,12405,1358347.5
2015-10-05 10:09,109.5,109.55,109.45,109.46,1639,11592,1268860.25
2015-10-05 10:10,109.46,109.54,109.45,109.48,2266,21246,2326012.25
2015-10-05 10:11,109.48,109.48,109.34,109.37,1876,17023,1861805.5
2015-10-05 10:12,109.37,109.37,109.25,109.3,2203,17885,1954830.5
2015-10-05 10:13,109.3,109.31,109.21,109.26,1599,11716,1280090.125
2015-10-05 10:14,109.26,109.33,109.22,109.27,1556,10345,1130398.125
2015-10-05 10:15,109.27,109.29,109.17,109.21,1421,11310,1235165.125
2015-10-05 10:16,109.21,109.28,109.17,109.26,1627,13708,1497736.125
2015-10-05 10:17,109.26,109.28,109.14,109.17,2187,15897,1735475.5
2015-10-05 10:18,109.17,109.22,109.15,109.18,1248,9019,984694.4375
2015-10-05 10:19,109.18,109.18,109.11,109.13,1304,10706,1168345.75
2015-10-05 10:20,109.13,109.24,109.06,109.24,2754,28559,3119785
2015-10-05 10:21,109.24,109.32,109.18,109.3,2544,16680,1823124
2015-10-05 10:22,109.3,109.44,109.26,109.41,1900,14455,1581521.625
2015-10-05 10:23,109.41,109.41,109.29,109.38,1476,8073,883024.6875
2015-10-05 10:24,109.38,109.46,109.31,109.43,1464,7760,849176.8125
2015-10-05 10:25,109.43,109.53,109.4,109.46,1239,8071,883451.625
2015-10-05 10:26,109.46,109.51,109.41,109.43,1248,7553,826524.8125
2015-10-05 10:27,109.43,109.48,109.43,109.46,757,4072,445721.125
2015-10-05 10:28,109.46,109.57,109.44,109.52,1270,8745,957752.375
2015-10-05 10:29,109.52,109.65,109.5,109.65,1839,13855,1519200.75
2015-10-05 10:30,109.65,109.67,109.6,109.62,1301,7736,848020.3125
2015-10-05 10:31,109.62,109.62,109.58,109.61,570,5807,636505.25
2015-10-05 10:32,109.61,109.61,109.55,109.59,675,5450,597265.5
2015-10-05 10:33,109.59,109.59,109.53,109.54,630,4357,477265.7813
2015-10-05 10:34,109.54,109.56,109.5,109.5,1079,10187,1115476.5
2015-10-05 10:35,109.51,109.52,109.49,109.5,944,7435,814132.5
2015-10-05 10:36,109.5,109.54,109.48,109.5,1094,8581,939619.5
2015-10-05 10:37,109.5,109.56,109.48,109.55,1233,10045,1100429.75
2015-10-05 10:38,109.55,109.56,109.5,109.52,879,9163,1003531.75
2015-10-05 10:39,109.52,109.52,109.4,109.49,1714,13149,1439684
2015-10-05 10:40,109.49,109.49,109.37,109.41,1378,9423,1030970.438
2015-10-05 10:41,109.41,109.42,109.33,109.38,2251,15864,1735204.25
2015-10-05 10:42,109.38,109.4,109.31,109.37,1394,8363,914661.3125
2015-10-05 10:43,109.38,109.49,109.37,109.49,1026,7126,780225.75
2015-10-05 10:44,109.49,109.54,109.45,109.53,1489,12784,1400231.5
2015-10-05 10:45,109.53,109.59,109.51,109.58,1240,12043,1319672
2015-10-05 10:46,109.58,109.63,109.5,109.52,1263,11250,1232100
2015-10-05 10:47,109.52,109.53,109.46,109.5,1472,11006,1205157
2015-10-05 10:48,109.5,109.56,109.5,109.53,1470,8860,970435.8125
2015-10-05 10:49,109.53,109.55,109.5,109.54,1035,8434,923860.375
2015-10-05 10:50,109.54,109.59,109.5,109.59,1229,9341,1023680.125
2015-10-05 10:51,109.59,109.59,109.5,109.56,1086,8961,981767.125
2015-10-05 10:52,109.56,109.61,109.52,109.6,1313,10260,1124496
2015-10-05 10:53,109.6,109.8,109.6,109.8,2226,20896,2294380.75
2015-10-05 10:54,109.8,109.93,109.79,109.92,1497,10903,1198457.75
2015-10-05 10:55,109.92,109.96,109.88,109.93,1290,11795,1296624.375
2015-10-05 10:56,109.93,110.01,109.9,110,1050,10141,1115510
2015-10-05 10:57,110,110.11,109.99,110.05,1245,8069,887993.5
