"Date","TradeCount","PortfolioOpen","PortfolioClose","PnL"
2015-05-13,4,99997,99976,-21
2015-05-14,4,99976,99960,-16
2015-05-15,4,99960,99947,-13
2015-05-19,5,99947,99869,-78
2015-05-20,4,99869,99871,2
2015-05-21,2,99871,99891,20
2015-05-22,3,99891,99915,24
2015-05-25,3,99915,99894,-21
2015-05-26,4,99894,99977,83
2015-05-27,3,99977,100008,31
2015-05-28,4,100008,100163,155
2015-05-29,4,100163,100158,-5
2015-06-01,4,100158,100203,45
2015-06-02,3,100203,100246,43
2015-06-03,5,100246,100214,-32
2015-06-04,6,100214,100233,19
2015-06-05,5,100233,100197,-36
2015-06-08,5,100197,100184,-13
2015-06-09,3,100184,100183,-1
2015-06-10,3,100183,100213,30
2015-06-11,6,100213,100177,-36
2015-06-12,5,100177,100195,18
2015-06-15,5,100195,100227,32
2015-06-16,2,100227,100215,-12
2015-06-17,6,100215,100161,-54
2015-06-18,6,100161,100088,-73
2015-06-19,4,100088,100039,-49
2015-06-22,3,100039,100033,-6
2015-06-23,3,100033,100053,20
2015-06-24,5,100053,99996,-57
2015-06-25,2,99996,100045,49
2015-06-26,4,100045,100038,-7
2015-06-29,4,100038,100060,22
2015-06-30,5,100060,99960,-100
2015-07-02,4,99960,99896,-64
2015-07-03,4,99896,99866,-30
2015-07-06,4,99866,99907,41
2015-07-07,2,99907,100075,168
2015-07-08,5,100075,100035,-40
2015-07-09,6,100035,99981,-54
2015-07-10,3,99981,99997,16
2015-07-13,4,99997,99964,-33
2015-07-14,4,99964,99985,21
2015-07-15,4,99985,99972,-13
2015-07-16,2,99972,99969,-3
2015-07-17,4,99969,99999,30
2015-07-20,5,99999,100001,2
2015-07-21,4,100001,100029,28
2015-07-22,4,100029,1e+05,-29
2015-07-23,5,1e+05,99949,-51
2015-07-24,7,99949,99889,-60
2015-07-27,4,99889,99856,-33
2015-07-28,5,99856,99948,92
2015-07-29,3,99948,100011,63
2015-07-30,5,100011,99956,-55
2015-07-31,4,99956,99941,-15
2015-08-04,4,99941,99960,19
2015-08-05,6,99960,99965,5
2015-08-06,6,99965,99863,-102
2015-08-07,4,99863,99936,73
2015-08-10,4,99936,99944,8
2015-08-11,5,99944,99947,3
2015-08-12,5,99947,99966,19
2015-08-13,4,99966,99912,-54
2015-08-14,2,99912,99950,38
2015-08-17,5,99950,99922,-28
2015-08-18,4,99922,99884,-38
2015-08-19,4,99884,99925,41
2015-08-20,5,99925,99897,-28
2015-08-21,5,99897,99934,37
2015-08-24,6,99934,99878,-56
2015-08-25,8,99878,99655,-223
2015-08-26,6,99655,99779,124
2015-08-27,5,99779,99980,201
2015-08-28,3,99980,100020,40
2015-08-31,4,100020,100049,29
2015-09-01,6,100049,99988,-61
2015-09-02,6,99988,99848,-140
2015-09-03,6,99848,99792,-56
2015-09-04,6,99792,99771,-21
2015-09-08,5,99771,99723,-48
2015-09-09,5,99723,99682,-41
2015-09-10,3,99682,99737,55
2015-09-11,3,99737,99746,9
2015-09-14,3,99746,99770,24
2015-09-15,5,99770,99730,-40
2015-09-16,2,99730,99851,121
2015-09-17,4,99851,99834,-17
2015-09-18,3,99834,99829,-5
2015-09-21,5,99829,99828,-1
2015-09-22,4,99828,99882,54
2015-09-23,6,99882,99901,19
2015-09-24,5,99901,99880,-21
2015-09-25,5,99880,99813,-67
2015-09-28,3,99813,99814,1
2015-09-29,6,99814,99790,-24
2015-09-30,2,99790,99909,119
2015-10-01,4,99909,99875,-34
2015-10-02,6,99875,99726,-149
2015-10-05,4,99726,99739,13
2015-10-06,4,99739,99704,-35
2015-10-07,3,99704,99689,-15
2015-10-08,4,99689,99682,-7
2015-10-09,4,99682,99640,-42
2015-10-13,6,99640,99596,-44
2015-10-14,5,99596,99472,-124
2015-10-15,5,99472,99453,-19
2015-10-16,3,99453,99480,27
2015-10-19,4,99480,99455,-25
2015-10-20,4,99455,99491,36
2015-10-21,5,99491,99514,23
2015-10-22,4,99514,99535,21
2015-10-23,5,99535,99483,-52
2015-10-26,3,99483,99463,-20
2015-10-27,4,99463,99478,15
2015-10-28,2,99478,99532,54
2015-10-29,6,99532,99534,2
2015-10-30,5,99534,99496,-38
2015-11-02,5,99496,99524,28
2015-11-03,5,99524,99458,-66
2015-11-04,6,99458,99447,-11
2015-11-05,3,99447,99449,2
2015-11-06,5,99449,99459,10
2015-11-09,6,99459,99562,103
2015-11-10,2,99562,99618,56
2015-11-11,4,99618,99609,-9
2015-11-12,5,99609,99582,-27
2015-11-13,4,99582,99470,-112
2015-11-16,4,99470,99525,55
2015-11-17,4,99525,99523,-2
2015-11-18,6,99523,99494,-29
2015-11-19,4,99494,99523,29
2015-11-20,5,99523,99465,-58
2015-11-23,6,99465,99418,-47
