"Date","TradeCount","PortfolioOpen","PortfolioClose","PnL"
2015-05-13,3,99988,100023,35
2015-05-14,3,100023,100024,1
2015-05-15,3,100024,100067,43
2015-05-19,3,100067,100103,36
2015-05-20,3,100103,99933,-170
2015-05-21,3,99933,100025,92
2015-05-22,3,100025,99997,-28
2015-05-25,3,99997,99986,-11
2015-05-26,3,99986,99904,-82
2015-05-27,3,99904,99939,35
2015-05-28,3,99939,99904,-35
2015-05-29,3,99904,99915,11
2015-06-01,3,99915,99885,-30
2015-06-02,3,99885,99940,55
2015-06-03,3,99940,99920,-20
2015-06-04,3,99920,99811,-109
2015-06-05,3,99811,99783,-28
2015-06-08,3,99783,99735,-48
2015-06-09,3,99735,99950,215
2015-06-10,3,99950,99921,-29
2015-06-11,3,99921,99827,-94
2015-06-12,3,99827,99875,48
2015-06-15,3,99875,99951,76
2015-06-16,3,99951,99971,20
2015-06-17,3,99971,99874,-97
2015-06-18,3,99874,99902,28
2015-06-19,3,99902,99806,-96
2015-06-22,3,99806,99819,13
2015-06-23,3,99819,99869,50
2015-06-24,3,99869,99869,0
2015-06-25,3,99869,99821,-48
2015-06-26,3,99821,99781,-40
2015-06-29,3,99781,99631,-150
2015-06-30,3,99631,99602,-29
2015-07-02,3,99602,99680,78
2015-07-03,3,99680,99669,-11
2015-07-06,3,99669,99651,-18
2015-07-07,3,99651,99686,35
2015-07-08,3,99686,99619,-67
2015-07-09,3,99619,99437,-182
2015-07-10,3,99437,99476,39
2015-07-13,3,99476,99416,-60
2015-07-14,3,99416,99514,98
2015-07-15,3,99514,99573,59
2015-07-16,3,99573,99496,-77
2015-07-17,3,99496,99468,-28
2015-07-20,3,99468,99395,-73
2015-07-21,3,99395,99333,-62
2015-07-22,3,99333,99282,-51
2015-07-23,3,99282,99203,-79
2015-07-24,3,99203,99113,-90
2015-07-27,3,99113,98998,-115
2015-07-28,3,98998,99045,47
2015-07-29,3,99045,99312,267
2015-07-30,3,99312,99460,148
2015-07-31,3,99460,99399,-61
2015-08-04,3,99399,99394,-5
2015-08-05,3,99394,99374,-20
2015-08-06,3,99374,99291,-83
2015-08-07,3,99291,99186,-105
2015-08-10,3,99186,99268,82
2015-08-11,3,99268,99324,56
2015-08-12,3,99324,99350,26
2015-08-13,3,99350,99279,-71
2015-08-14,3,99279,99321,42
2015-08-17,3,99321,99436,115
2015-08-18,3,99436,99469,33
2015-08-19,3,99469,99473,4
2015-08-20,3,99473,99423,-50
2015-08-21,3,99423,99232,-191
2015-08-24,3,99232,99332,100
2015-08-25,3,99332,99039,-293
2015-08-26,3,99039,99353,314
2015-08-27,3,99353,99381,28
2015-08-28,3,99381,99422,41
2015-08-31,3,99422,99696,274
2015-09-01,3,99696,99626,-70
2015-09-02,3,99626,99528,-98
2015-09-03,3,99528,99480,-48
2015-09-04,3,99480,99520,40
2015-09-08,3,99520,99465,-55
2015-09-09,3,99465,99264,-201
2015-09-10,3,99264,99318,54
2015-09-11,3,99318,99264,-54
2015-09-14,3,99264,99264,0
2015-09-15,3,99264,99264,0
2015-09-16,3,99264,99487,223
2015-09-17,3,99487,99505,18
2015-09-18,3,99505,99505,0
2015-09-21,3,99505,99516,11
2015-09-22,3,99516,99482,-34
2015-09-23,3,99482,99399,-83
2015-09-24,3,99399,99391,-8
2015-09-25,3,99391,99346,-45
2015-09-28,3,99346,99361,15
2015-09-29,3,99361,99469,108
2015-09-30,3,99469,99608,139
2015-10-01,3,99608,99750,142
2015-10-02,3,99750,99905,155
2015-10-05,3,99905,99991,86
2015-10-06,3,99991,100045,54
2015-10-07,3,100045,100017,-28
2015-10-08,3,100017,100099,82
2015-10-09,3,100099,100033,-66
2015-10-13,3,100033,100080,47
2015-10-14,3,100080,99819,-261
2015-10-15,3,99819,99766,-53
2015-10-16,3,99766,99812,46
2015-10-19,3,99812,99805,-7
2015-10-20,3,99805,99889,84
2015-10-21,3,99889,99832,-57
2015-10-22,3,99832,99847,15
2015-10-23,3,99847,99765,-82
2015-10-26,3,99765,99657,-108
2015-10-27,3,99657,99644,-13
2015-10-28,3,99644,99733,89
2015-10-29,3,99733,99793,60
2015-10-30,3,99793,99581,-212
2015-11-02,3,99581,99553,-28
2015-11-03,3,99553,99522,-31
2015-11-04,3,99522,99469,-53
2015-11-05,3,99469,99393,-76
2015-11-06,3,99393,99358,-35
2015-11-09,3,99358,99289,-69
2015-11-10,3,99289,99347,58
2015-11-11,3,99347,99339,-8
2015-11-12,3,99339,99221,-118
2015-11-13,3,99221,99065,-156
2015-11-16,3,99065,99243,178
2015-11-17,3,99243,99246,3
2015-11-18,3,99246,99251,5
2015-11-19,3,99251,99335,84
2015-11-20,3,99335,99295,-40
2015-11-23,3,99295,99268,-27
