"Date","TradeCount","PortfolioOpen","PortfolioClose","PnL"
2015-05-13,4,100005,99996,-9
2015-05-14,2,99996,99994,-2
2015-05-15,4,99994,99990,-4
2015-05-19,4,99990,99904,-86
2015-05-25,8,99904,99891,-13
2015-05-26,2,99891,99941,50
2015-05-27,2,99941,99947,6
2015-05-28,2,99947,99842,-105
2015-05-29,4,99842,99853,11
2015-06-01,4,99853,99693,-160
2015-06-02,4,99693,99722,29
2015-06-05,2,99722,99686,-36
2015-06-08,2,99686,99641,-45
2015-06-09,2,99641,99699,58
2015-06-10,2,99699,99695,-4
2015-06-11,2,99695,99699,4
2015-06-15,2,99699,99730,31
2015-06-16,2,99730,99711,-19
2015-06-18,4,99711,99640,-71
2015-06-19,2,99640,99631,-9
2015-06-22,2,99631,99646,15
2015-06-26,2,99646,99646,0
2015-06-30,2,99646,99548,-98
2015-07-03,4,99548,99522,-26
2015-07-06,2,99522,99598,76
2015-07-09,2,99598,99570,-28
2015-07-14,2,99570,99579,9
2015-07-15,2,99579,99573,-6
2015-07-16,2,99573,99567,-6
2015-07-22,2,99567,99541,-26
2015-07-23,2,99541,99520,-21
2015-07-24,2,99520,99504,-16
2015-07-28,2,99504,99561,57
2015-07-29,2,99561,99643,82
2015-07-30,2,99643,99595,-48
2015-07-31,2,99595,99605,10
2015-08-10,2,99605,99637,32
2015-08-12,2,99637,99613,-24
2015-08-13,2,99613,99603,-10
2015-08-17,2,99603,99608,5
2015-08-20,2,99608,99639,31
2015-08-21,2,99639,99599,-40
2015-08-24,4,99599,99678,79
2015-08-25,2,99678,99621,-57
2015-08-26,2,99621,99772,151
2015-08-27,4,99772,99811,39
2015-08-28,4,99811,99830,19
2015-08-31,6,99830,99893,63
2015-09-03,4,99893,99853,-40
2015-09-08,4,99853,99827,-26
2015-09-10,4,99827,99791,-36
2015-09-21,2,99791,99803,12
2015-09-24,2,99803,99779,-24
2015-09-29,2,99779,99769,-10
2015-10-01,2,99769,99774,5
2015-10-02,2,99774,99751,-23
2015-10-06,2,99751,99708,-43
2015-10-07,2,99708,99701,-7
2015-10-19,4,99701,99662,-39
2015-10-20,2,99662,99715,53
2015-10-21,2,99715,99729,14
2015-10-22,2,99729,99699,-30
2015-10-27,2,99699,99726,27
2015-10-29,2,99726,99752,26
2015-11-02,2,99752,99733,-19
2015-11-05,2,99733,99698,-35
2015-11-06,2,99698,99693,-5
2015-11-11,2,99693,99710,17
2015-11-13,2,99710,99690,-20
2015-11-16,6,99690,99739,49
2015-11-17,2,99739,99806,67
2015-11-23,2,99806,99784,-22
